"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,2806,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.01,2212,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.025,2218,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.05,2324,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.1,2367,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.15,2508,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.2,2622,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.25,2677,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.3,2701,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.35,2746,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.4,2762,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.45,2778,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.5,2806,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.55,2833,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.6,2873,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.65,2900,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.7,2913,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.75,2976,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.8,3010,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.85,3081,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.9,3184,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.95,3280,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.975,3489,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","quantile",0.99,3602,"2021-12-04","2021-11-29","1 wk ahead inc death"
"PL","point",NA,3237,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.01,2087,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.025,2256,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.05,2419,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.1,2563,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.15,2670,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.2,2771,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.25,2873,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.3,2964,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.35,3039,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.4,3110,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.45,3173,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.5,3237,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.55,3287,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.6,3340,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.65,3407,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.7,3476,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.75,3555,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.8,3649,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.85,3755,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.9,3885,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.95,4125,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.975,4329,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","quantile",0.99,4539,"2021-12-11","2021-11-29","2 wk ahead inc death"
"PL","point",NA,3444,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.01,1793,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.025,1979,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.05,2171,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.1,2413,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.15,2595,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.2,2763,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.25,2890,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.3,3010,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.35,3127,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.4,3241,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.45,3348,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.5,3444,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.55,3546,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.6,3644,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.65,3738,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.7,3871,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.75,3994,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.8,4139,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.85,4319,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.9,4557,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.95,4930,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.975,5281,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","quantile",0.99,5664,"2021-12-18","2021-11-29","3 wk ahead inc death"
"PL","point",NA,3505,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.01,1269,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.025,1568,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.05,1814,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.1,2112,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.15,2357,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.2,2571,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.25,2746,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.3,2923,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.35,3077,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.4,3223,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.45,3370,"2021-12-25","2021-11-29","4 wk ahead inc death"
"PL","quantile",0.5,3505,"2021-12-25","2021-11-29","4 wk ahead inc death"
