"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,59754,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.01,41768,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.025,46125,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.05,47847,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.1,52462,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.15,53500,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.2,54621,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.25,56190,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.3,56901,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.35,57895,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.4,58499,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.45,59336,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.5,59754,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.55,60445,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.6,60817,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.65,61780,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.7,63437,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.75,64567,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.8,64876,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.85,65848,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.9,68655,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.95,71168,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.975,75269,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","quantile",0.99,93611,"2022-01-08","2022-01-03","1 wk ahead inc case"
"PL","point",NA,43779,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.01,17206,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.025,21567,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.05,25207,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.1,29763,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.15,32574,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.2,35017,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.25,36673,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.3,38219,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.35,39560,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.4,41024,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.45,42441,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.5,43779,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.55,45198,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.6,46545,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.65,48256,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.7,49967,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.75,51557,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.8,53611,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.85,56397,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.9,60199,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.95,68010,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.975,76009,"2022-01-15","2022-01-03","2 wk ahead inc case"
"PL","quantile",0.99,98990,"2022-01-15","2022-01-03","2 wk ahead inc case"
