"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,166785,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.01,78800,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.025,119496,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.05,128552,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.1,132590,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.15,136663,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.2,144981,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.25,150554,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.3,153801,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.35,157946,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.4,162658,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.45,163983,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.5,166785,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.55,169300,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.6,173799,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.65,176908,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.7,178897,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.75,182852,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.8,184961,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.85,189049,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.9,200035,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.95,217843,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.975,237279,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","quantile",0.99,244031,"2022-09-10","2022-09-05","1 wk ahead inc case"
"GM","point",NA,127168,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.01,15982,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.025,43256,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.05,54500,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.1,68089,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.15,78066,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.2,86596,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.25,95516,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.3,103076,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.35,109662,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.4,115395,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.45,121122,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.5,127168,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.55,132623,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.6,139063,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.65,145538,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.7,152949,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.75,161742,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.8,171258,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.85,183067,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.9,204293,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.95,239658,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.975,270244,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","quantile",0.99,290381,"2022-09-17","2022-09-05","2 wk ahead inc case"
"GM","point",NA,129356,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.01,1046,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.025,14199,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.05,26788,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.1,44534,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.15,58585,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.2,70981,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.25,81123,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.3,90175,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.35,99507,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.4,110009,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.45,118224,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.5,129356,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.55,139091,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.6,149399,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.65,161061,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.7,175174,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.75,190380,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.8,207262,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.85,229146,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.9,261446,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.95,320905,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.975,361982,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","quantile",0.99,417786,"2022-09-24","2022-09-05","3 wk ahead inc case"
"GM","point",NA,141220,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.01,0,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.025,1706,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.05,11485,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.1,29461,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.15,46754,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.2,60779,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.25,76010,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.3,88937,"2022-10-01","2022-09-05","4 wk ahead inc case"
"GM","quantile",0.35,101506,"2022-10-01","2022-09-05","4 wk ahead inc case"
