"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,1843,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.01,1599,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.025,1599,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.05,1599,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.1,1650,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.15,1672,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.2,1732,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.25,1783,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.3,1803,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.35,1803,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.4,1814,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.45,1842,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.5,1843,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.55,1873,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.6,1880,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.65,1912,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.7,1966,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.75,1973,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.8,1983,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.85,1994,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.9,2015,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.95,2015,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.975,2037,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.99,2037,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","point",NA,2229,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.01,1751,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.025,1815,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.05,1887,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.1,1955,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.15,2004,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.2,2051,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.25,2089,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.3,2119,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.35,2146,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.4,2173,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.45,2200,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.5,2229,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.55,2261,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.6,2289,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.65,2311,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.7,2339,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.75,2362,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.8,2388,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.85,2425,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.9,2478,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.95,2533,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.975,2563,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.99,2602,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","point",NA,2386,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.01,1709,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.025,1802,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.05,1880,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.1,1989,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.15,2057,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.2,2120,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.25,2172,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.3,2217,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.35,2265,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.4,2306,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.45,2347,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.5,2386,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.55,2424,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.6,2462,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.65,2504,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.7,2545,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.75,2588,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.8,2637,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.85,2693,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.9,2767,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.95,2870,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.975,2961,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","quantile",0.99,3065,"2021-12-11","2021-11-22","3 wk ahead inc death"
"GM","point",NA,2524,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.01,1585,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.025,1722,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.05,1851,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.1,1995,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.15,2101,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.2,2174,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.25,2244,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.3,2305,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.35,2359,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.4,2415,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.45,2471,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.5,2524,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.55,2579,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.6,2632,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.65,2689,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.7,2744,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.75,2808,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.8,2880,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.85,2967,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.9,3067,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.95,3221,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.975,3367,"2021-12-18","2021-11-22","4 wk ahead inc death"
"GM","quantile",0.99,3500,"2021-12-18","2021-11-22","4 wk ahead inc death"
