"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,2343,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.01,2033,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.025,2033,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.05,2125,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.1,2125,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.15,2156,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.2,2190,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.25,2194,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.3,2194,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.35,2194,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.4,2233,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.45,2301,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.5,2343,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.55,2346,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.6,2352,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.65,2352,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.7,2357,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.75,2378,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.8,2426,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.85,2429,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.9,2429,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.95,2441,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.975,2443,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","quantile",0.99,2443,"2021-12-25","2021-12-20","1 wk ahead inc death"
"GM","point",NA,1834,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.01,1463,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.025,1503,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.05,1556,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.1,1612,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.15,1645,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.2,1676,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.25,1712,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.3,1743,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.35,1769,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.4,1790,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.45,1814,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.5,1834,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.55,1853,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.6,1877,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.65,1900,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.7,1926,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.75,1953,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.8,1988,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.85,2022,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.9,2054,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.95,2088,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.975,2116,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","quantile",0.99,2141,"2022-01-01","2021-12-20","2 wk ahead inc death"
"GM","point",NA,1334,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.01,847,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.025,909,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.05,981,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.1,1053,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.15,1108,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.2,1155,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.25,1188,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.3,1217,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.35,1249,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.4,1277,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.45,1308,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.5,1334,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.55,1365,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.6,1394,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.65,1429,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.7,1460,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.75,1496,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.8,1536,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.85,1583,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.9,1643,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.95,1735,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.975,1804,"2022-01-08","2021-12-20","3 wk ahead inc death"
"GM","quantile",0.99,1886,"2022-01-08","2021-12-20","3 wk ahead inc death"
