"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,2504,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.01,2289,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.025,2289,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.05,2289,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.1,2342,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.15,2372,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.2,2375,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.25,2376,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.3,2401,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.35,2416,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.4,2428,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.45,2504,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.5,2504,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.55,2522,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.6,2532,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.65,2532,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.7,2597,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.75,2597,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.8,2601,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.85,2625,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.9,2660,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.95,2851,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.975,2851,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.99,2851,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","point",NA,2032,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.01,1564,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.025,1681,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.05,1749,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.1,1815,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.15,1858,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.2,1882,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.25,1913,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.3,1945,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.35,1966,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.4,1985,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.45,2008,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.5,2032,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.55,2053,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.6,2081,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.65,2108,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.7,2126,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.75,2161,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.8,2192,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.85,2236,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.9,2285,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.95,2378,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.975,2445,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.99,2564,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","point",NA,1581,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.01,839,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.025,939,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.05,1074,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.1,1214,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.15,1298,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.2,1351,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.25,1394,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.3,1434,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.35,1472,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.4,1507,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.45,1540,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.5,1581,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.55,1622,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.6,1666,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.65,1705,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.7,1748,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.75,1796,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.8,1854,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.85,1921,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.9,1999,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.95,2139,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.975,2314,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.99,2575,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","point",NA,1188,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.01,345,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.025,436,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.05,555,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.1,703,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.15,796,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.2,873,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.25,935,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.3,987,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.35,1041,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.4,1091,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.45,1140,"2022-01-15","2021-12-20","4 wk ahead inc death"
