"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,2022,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.01,1807,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.025,1840,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.05,1869,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.1,1902,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.15,1925,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.2,1943,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.25,1958,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.3,1972,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.35,1986,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.4,1998,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.45,2010,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.5,2022,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.55,2034,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.6,2046,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.65,2059,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.7,2072,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.75,2087,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.8,2103,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.85,2122,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.9,2146,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.95,2182,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.975,2213,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","quantile",0.99,2249,"2021-11-27","2021-11-22","1 wk ahead inc death"
"GM","point",NA,2727,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.01,2421,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.025,2468,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.05,2509,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.1,2557,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.15,2589,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.2,2615,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.25,2637,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.3,2657,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.35,2675,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.4,2693,"2021-12-04","2021-11-22","2 wk ahead inc death"
"GM","quantile",0.45,2710,"2021-12-04","2021-11-22","2 wk ahead inc death"
