"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,153372,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.01,136459,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.025,139057,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.05,141311,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.1,143933,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.15,145715,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.2,147139,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.25,148367,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.3,149473,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.35,150502,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.4,151482,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.45,152433,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.5,153372,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.55,154313,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.6,155273,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.65,156268,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.7,157321,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.75,158460,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.8,159734,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.85,161225,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.9,163110,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.95,165926,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.975,168387,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","quantile",0.99,171272,"2021-12-11","2021-12-06","1 wk ahead inc case"
"PL","point",NA,124937,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.01,92688,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.025,97448,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.05,101637,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.1,106577,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.15,109976,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.2,112715,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.25,115092,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.3,117248,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.35,119263,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.4,121192,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.45,123072,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.5,124937,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.55,126816,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.6,128739,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.65,130742,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.7,132870,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.75,135186,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.8,137788,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.85,140852,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.9,144755,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.95,150639,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.975,155837,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","quantile",0.99,161991,"2021-12-18","2021-12-06","2 wk ahead inc case"
"PL","point",NA,80521,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.01,40245,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.025,45671,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.05,50611,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.1,56623,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.15,60869,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.2,64353,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.25,67420,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.3,70235,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.35,72894,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.4,75464,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.45,77992,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.5,80521,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.55,83090,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.6,85742,"2021-12-25","2021-12-06","3 wk ahead inc case"
"PL","quantile",0.65,88527,"2021-12-25","2021-12-06","3 wk ahead inc case"
