"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,296335,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.01,240199,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.025,248649,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.05,256034,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.1,264682,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.15,270598,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.2,275346,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.25,279453,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.3,283167,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.35,286630,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.4,289936,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.45,293153,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.5,296335,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.55,299535,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.6,302804,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.65,306202,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.7,309803,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.75,313713,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.8,318095,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.85,323242,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.9,329776,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.95,339581,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.975,348202,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","quantile",0.99,358362,"2021-12-18","2021-12-13","1 wk ahead inc case"
"GM","point",NA,239504,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.01,142163,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.025,155818,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.05,168064,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.1,182757,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.15,193018,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.2,201373,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.25,208683,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.3,215357,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.35,221636,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.4,227678,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.45,233601,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.5,239504,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.55,245480,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.6,251629,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.65,258063,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.7,264933,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.75,272447,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.8,280938,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.85,290999,"2021-12-25","2021-12-13","2 wk ahead inc case"
"GM","quantile",0.9,303911,"2021-12-25","2021-12-13","2 wk ahead inc case"
