"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,2711,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.01,2378,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.025,2429,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.05,2473,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.1,2525,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.15,2560,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.2,2588,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.25,2612,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.3,2634,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.35,2654,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.4,2674,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.45,2693,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.5,2711,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.55,2730,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.6,2749,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.65,2768,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.7,2789,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.75,2812,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.8,2837,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.85,2866,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.9,2904,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.95,2960,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.975,3009,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","quantile",0.99,3066,"2021-12-25","2021-12-20","1 wk ahead inc death"
"PL","point",NA,2204,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.01,1782,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.025,1845,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.05,1901,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.1,1966,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.15,2011,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.2,2046,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.25,2077,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.3,2105,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.35,2131,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.4,2156,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.45,2181,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.5,2204,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.55,2229,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.6,2253,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.65,2279,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.7,2306,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.75,2335,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.8,2369,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.85,2407,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.9,2457,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.95,2531,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.975,2596,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","quantile",0.99,2672,"2022-01-01","2021-12-20","2 wk ahead inc death"
"PL","point",NA,1417,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.01,967,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.025,1032,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.05,1090,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.1,1158,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.15,1206,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.2,1244,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.25,1278,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.3,1308,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.35,1336,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.4,1364,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.45,1390,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.5,1417,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.55,1443,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.6,1471,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.65,1499,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.7,1530,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.75,1563,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.8,1600,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.85,1645,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.9,1701,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.95,1786,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.975,1862,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","quantile",0.99,1952,"2022-01-08","2021-12-20","3 wk ahead inc death"
"PL","point",NA,617,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.01,231,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.025,280,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.05,325,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.1,382,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.15,422,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.2,456,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.25,486,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.3,514,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.35,540,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.4,566,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.45,591,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.5,617,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.55,643,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.6,670,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.65,699,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.7,729,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.75,763,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.8,802,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.85,848,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.9,909,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.95,1001,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.975,1086,"2022-01-15","2021-12-20","4 wk ahead inc death"
"PL","quantile",0.99,1188,"2022-01-15","2021-12-20","4 wk ahead inc death"
