"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","point",NA,22441
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.01,17740
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.025,18477
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.05,19112
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.1,19844
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.15,20340
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.2,20734
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.25,21072
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.3,21376
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.35,21658
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.4,21926
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.45,22185
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.5,22441
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.55,22594
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.6,22749
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.65,22908
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.7,23075
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.75,23254
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.8,23453
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.85,23683
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.9,23970
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.95,24392
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.975,24754
"2022-08-29","1 wk ahead inc case","2022-09-03","PL","quantile",0.99,25171
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","point",NA,20894
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.01,10872
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.025,12184
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.05,13388
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.1,14866
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.15,15919
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.2,16789
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.25,17559
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.3,18270
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.35,18944
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.4,19598
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.45,20245
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.5,20894
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.55,21289
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.6,21693
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.65,22114
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.7,22560
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.75,23046
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.8,23592
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.85,24233
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.9,25050
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.95,26279
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.975,27363
"2022-08-29","2 wk ahead inc case","2022-09-10","PL","quantile",0.99,28643
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","point",NA,19023
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.01,5642
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.025,6979
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.05,8320
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.1,10111
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.15,11484
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.2,12678
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.25,13779
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.3,14831
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.35,15863
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.4,16894
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.45,17942
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.5,19023
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.55,19695
"2022-08-29","3 wk ahead inc case","2022-09-17","PL","quantile",0.6,20393
