"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","point",NA,165000.655853036
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.01,105424.99569723
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.025,114834.199277392
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.05,122828.137620891
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.1,132150.750116718
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.15,138213.470393024
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.2,143009.312521603
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.25,147261.596263276
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.3,151120.704211949
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.35,154686.557367094
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.4,158088.235106473
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.45,161528.91185295
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.5,165000.655853036
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.55,168320.619221886
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.6,171683.554603373
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.65,175142.014388445
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.7,178794.897376979
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.75,183198.416324122
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.8,188425.958930979
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.85,194251.412619659
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.9,202636.790587997
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.95,216219.434275787
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.975,231513.193753767
"2021-04-26","1 wk ahead inc case","2021-05-01","GM","quantile",0.99,253954.4437035
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","point",NA,171117.938873088
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.01,72755.7812833007
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.025,88415.7678391064
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.05,101574.101045466
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.1,116908.404481451
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.15,126817.88017032
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.2,134639.526340304
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.25,141439.399999673
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.3,148247.944969822
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.35,154075.230917898
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.4,159901.636621009
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.45,165455.115058718
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.5,171117.938873088
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.55,176881.770395195
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.6,182531.558844123
"2021-04-26","2 wk ahead inc case","2021-05-08","GM","quantile",0.65,189195.040344349
