"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","point",NA,22783.0463773378
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.01,14724.6536767396
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.025,15843.7496645568
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.05,16735.0106045823
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.1,17877.5449460088
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.15,18672.825467211
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.2,19373.903355014
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.25,20009.8388748921
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.3,20612.6728126686
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.35,21187.4416670023
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.4,21732.0441152251
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.45,22256.1012678414
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.5,22783.0463773378
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.55,23351.261580806
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.6,23936.7929267627
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.65,24580.3743929403
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.7,25251.8430222742
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.75,25950.8512987925
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.8,26798.3517541655
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.85,27863.9360009336
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.9,29296.6552570533
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.95,31741.5581531176
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.975,34622.7570065411
"2021-05-10","1 wk ahead inc case","2021-05-15","PL","quantile",0.99,39560.6226436023
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","point",NA,15755.3971911856
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.01,6409.39278398478
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.025,6981.90027548548
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.05,7994.23992915802
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.1,9569.28167490534
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.15,10671.9031914042
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.2,11525.6884374781
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.25,12295.8928197605
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.3,12978.6228785742
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.35,13635.4807552265
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.4,14304.1408842447
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.45,14997.6625611395
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.5,15755.3971911856
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.55,16521.4674230972
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.6,17326.8734179771
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.65,18260.1030829849
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.7,19260.2476086184
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.75,20356.9382287215
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.8,21631.1578400174
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.85,23448.9014791118
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.9,26128.7758754979
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.95,31291.125526049
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.975,38834.5201176779
"2021-05-10","2 wk ahead inc case","2021-05-22","PL","quantile",0.99,52736.402337666
