"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","point",NA,665.97
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.01,266.36
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.025,329.29
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.05,383.42
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.1,445.84
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.15,487.97
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.2,521.46
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.25,550.19
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.3,575.98
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.35,599.87
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.4,622.53
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.45,644.44
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.5,665.97
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.55,687.51
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.6,709.41
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.65,732.07
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.7,755.97
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.75,781.76
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.8,810.49
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.85,843.97
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.9,886.1
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.95,948.53
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.975,1002.66
"2021-06-07","1 wk ahead inc death","2021-06-12","GM","quantile",0.99,1065.59
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","point",NA,532.61
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.01,33.1
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.025,111.75
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.05,179.42
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.1,257.45
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.15,310.11
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.2,351.97
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.25,387.88
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.3,420.12
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.35,449.98
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.4,478.31
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.45,505.69
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.5,532.61
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.55,559.53
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.6,586.91
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.65,615.24
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.7,645.1
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.75,677.35
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.8,713.25
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.85,755.11
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.9,807.77
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.95,885.8
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.975,953.47
"2021-06-07","2 wk ahead inc death","2021-06-19","GM","quantile",0.99,1032.13
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","point",NA,414.57
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.01,0
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.025,0
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.05,0
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.1,84.38
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.15,147.57
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.2,197.8
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.25,240.89
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.3,279.58
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.35,315.42
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.4,349.42
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.45,382.27
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.5,414.57
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.55,446.87
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.6,479.73
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.65,513.73
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.7,549.56
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.75,588.26
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.8,631.35
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.85,681.57
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.9,744.77
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.95,838.41
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.975,919.6
"2021-06-07","3 wk ahead inc death","2021-06-26","GM","quantile",0.99,1013.99
"2021-06-07","4 wk ahead inc death","2021-07-03","GM","point",NA,311.55
"2021-06-07","4 wk ahead inc death","2021-07-03","GM","quantile",0.01,0
"2021-06-07","4 wk ahead inc death","2021-07-03","GM","quantile",0.025,0
"2021-06-07","4 wk ahead inc death","2021-07-03","GM","quantile",0.05,0
"2021-06-07","4 wk ahead inc death","2021-07-03","GM","quantile",0.1,0
"2021-06-07","4 wk ahead inc death","2021-07-03","GM","quantile",0.15,0.05
