"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","point",NA,51
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.01,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.025,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.05,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.1,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.15,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.2,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.25,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.3,0
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.35,14
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.4,26
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.45,39
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.5,51
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.55,63
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.6,75
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.65,88
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.7,101
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.75,116
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.8,132
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.85,151
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.9,175
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.95,210
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.975,240
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.99,276
"2021-07-19","2 wk ahead inc death","2021-07-31","PL","point",NA,32
"2021-07-19","2 wk ahead inc death","2021-07-31","PL","quantile",0.01,0
"2021-07-19","2 wk ahead inc death","2021-07-31","PL","quantile",0.025,0
"2021-07-19","2 wk ahead inc death","2021-07-31","PL","quantile",0.05,0
