"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","point",NA,631
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.01,429
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.025,461
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.05,488
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.1,520
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.15,541
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.2,558
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.25,572
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.3,585
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.35,597
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.4,609
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.45,620
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.5,631
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.55,642
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.6,653
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.65,664
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.7,676
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.75,689
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.8,704
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.85,721
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.9,742
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.95,773
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.975,801
"2021-11-01","1 wk ahead inc death","2021-11-06","GM","quantile",0.99,832
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","point",NA,624
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.01,355
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.025,398
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.05,434
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.1,476
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.15,505
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.2,527
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.25,546
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.3,564
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.35,580
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.4,595
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.45,610
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.5,624
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.55,639
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.6,653
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.65,669
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.7,685
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.75,702
"2021-11-01","2 wk ahead inc death","2021-11-13","GM","quantile",0.8,721
