"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","point",NA,296226
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.01,200959
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.025,215961
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.05,228865
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.1,243747
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.15,253791
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.2,261774
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.25,268622
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.3,274771
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.35,280467
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.4,285870
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.45,291092
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.5,296226
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.55,301359
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.6,306582
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.65,311984
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.7,317680
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.75,323829
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.8,330678
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.85,338661
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.9,348704
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.95,363586
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.975,376491
"2022-01-10","1 wk ahead inc case","2022-01-15","GM","quantile",0.99,391492
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","point",NA,307747
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.01,180725
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.025,200727
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.05,217933
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.1,237776
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.15,251167
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.2,261810
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.25,270942
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.3,279141
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.35,286736
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.4,293939
"2022-01-10","2 wk ahead inc case","2022-01-22","GM","quantile",0.45,300902
