"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","point",NA,53377
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.01,9215
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.025,16169
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.05,22151
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.1,29050
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.15,33706
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.2,37406
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.25,40581
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.3,43432
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.35,46072
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.4,48577
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.45,50998
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.5,53377
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.55,55757
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.6,58178
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.65,60682
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.7,63323
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.75,66173
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.8,69348
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.85,73049
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.9,77705
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.95,84604
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.975,90586
"2022-03-07","1 wk ahead inc case","2022-03-12","PL","quantile",0.99,97540
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","point",NA,33712
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.01,0
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.025,0
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.05,0
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.1,1275
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.15,7483
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.2,12417
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.25,16650
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.3,20451
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.35,23971
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.4,27311
"2022-03-07","2 wk ahead inc case","2022-03-19","PL","quantile",0.45,30539
