"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-24,"6 day ahead inc case",2021-03-30,"GM","Germany","point",NA,18268.4741812926
2021-03-24,"5 day ahead inc case",2021-03-29,"GM","Germany","point",NA,17840.6065409323
2021-03-24,"4 day ahead inc case",2021-03-28,"GM","Germany","point",NA,17412.7389005711
2021-03-24,"3 day ahead inc case",2021-03-27,"GM","Germany","point",NA,16984.8712602104
2021-03-24,"2 day ahead inc case",2021-03-26,"GM","Germany","point",NA,16557.0036198492
2021-03-24,"1 day ahead inc case",2021-03-25,"GM","Germany","point",NA,16129.135979489
2021-03-24,"0 day ahead inc case",2021-03-24,"GM","Germany","observed",NA,15701.2683391278
2021-03-24,"-1 day ahead inc case",2021-03-23,"GM","Germany","observed",NA,20969
2021-03-24,"6 day ahead cum case",2021-03-30,"GM","Germany","point",NA,2818125.09882147
2021-03-24,"5 day ahead cum case",2021-03-29,"GM","Germany","point",NA,2799856.62464018
2021-03-24,"4 day ahead cum case",2021-03-28,"GM","Germany","point",NA,2782016.01809925
2021-03-24,"3 day ahead cum case",2021-03-27,"GM","Germany","point",NA,2764603.27919868
2021-03-24,"2 day ahead cum case",2021-03-26,"GM","Germany","point",NA,2747618.40793847
2021-03-24,"1 day ahead cum case",2021-03-25,"GM","Germany","point",NA,2731061.40431862
2021-03-24,"0 day ahead cum case",2021-03-24,"GM","Germany","observed",NA,2714932.26833913
2021-03-24,"-1 day ahead cum case",2021-03-23,"GM","Germany","observed",NA,2699231
2021-03-24,"0 wk ahead inc case",2021-03-27,"GM","Germany","point",NA,95370.2791986763
2021-03-24,"-1 wk ahead cum case",2021-03-20,"GM","Germany","observed",NA,2669233
2021-03-24,"0 wk ahead cum case",2021-03-27,"GM","Germany","point",NA,2764603.27919868
