"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-28,"6 day ahead inc case",2021-04-03,"GM","Germany","point",NA,21187.6240177588
2021-03-28,"5 day ahead inc case",2021-04-02,"GM","Germany","point",NA,20715.7811998595
2021-03-28,"4 day ahead inc case",2021-04-01,"GM","Germany","point",NA,20243.9383819606
2021-03-28,"3 day ahead inc case",2021-03-31,"GM","Germany","point",NA,19772.0955640608
2021-03-28,"2 day ahead inc case",2021-03-30,"GM","Germany","point",NA,19300.252746162
2021-03-28,"1 day ahead inc case",2021-03-29,"GM","Germany","point",NA,18828.4099282627
2021-03-28,"0 day ahead inc case",2021-03-28,"GM","Germany","observed",NA,18356.5671103634
2021-03-28,"-1 day ahead inc case",2021-03-27,"GM","Germany","observed",NA,17628
2021-03-28,"6 day ahead cum case",2021-04-03,"GM","Germany","point",NA,2921329.66894843
2021-03-28,"5 day ahead cum case",2021-04-02,"GM","Germany","point",NA,2900142.04493067
2021-03-28,"4 day ahead cum case",2021-04-01,"GM","Germany","point",NA,2879426.26373081
2021-03-28,"3 day ahead cum case",2021-03-31,"GM","Germany","point",NA,2859182.32534885
2021-03-28,"2 day ahead cum case",2021-03-30,"GM","Germany","point",NA,2839410.22978479
2021-03-28,"1 day ahead cum case",2021-03-29,"GM","Germany","point",NA,2820109.97703863
2021-03-28,"0 day ahead cum case",2021-03-28,"GM","Germany","observed",NA,2801281.56711036
2021-03-28,"-1 day ahead cum case",2021-03-27,"GM","Germany","observed",NA,2782925
2021-03-28,"0 wk ahead inc case",2021-03-27,"GM","Germany","observed",NA,113692
2021-03-28,"1 wk ahead inc case",2021-04-03,"GM","Germany","point",NA,138404.668948428
2021-03-28,"-1 wk ahead cum case",2021-03-20,"GM","Germany","observed",NA,2669233
2021-03-28,"0 wk ahead cum case",2021-03-27,"GM","Germany","observed",NA,2782925
2021-03-28,"1 wk ahead cum case",2021-04-03,"GM","Germany","point",NA,2921329.66894843
