"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.01,0
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.025,0
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.05,56
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.1,174
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.15,262
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.2,307
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.25,333
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.3,366
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.35,420
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.4,428
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.45,445
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.5,467
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.55,517
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.6,522
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.65,535
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.7,551
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.75,586
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.8,603
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.85,641
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.9,677
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.95,726
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.975,795
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","quantile",0.99,877
"2022-05-29","1 wk ahead inc death","2022-06-04","GM","point",NA,467
