"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.01,0
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.025,0
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.05,0
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.1,5
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.15,9
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.2,11
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.25,12
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.3,14
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.35,15
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.4,17
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.45,19
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.5,20
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.55,21
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.6,23
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.65,24
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.7,27
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.75,27
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.8,29
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.85,33
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.9,43
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.95,51
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.975,63
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","quantile",0.99,78
"2022-07-03","1 wk ahead inc death","2022-07-09","PL","point",NA,20
