"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,303,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.025,318,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.05,348,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.1,376,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.15,404,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.2,424,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.25,443,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.3,460,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.35,476,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.4,494,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.45,512,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.5,528,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
NA,528,"point","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.55,544,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.6,567,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.65,586,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.7,606,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.75,633,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.8,661,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.85,691,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.9,737,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.95,789,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.975,836,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.99,903,"quantile","GM","1 wk ahead inc death","2021-06-06","2021-06-12"
0.01,180,"quantile","GM","2 wk ahead inc death","2021-06-06","2021-06-19"
0.025,212,"quantile","GM","2 wk ahead inc death","2021-06-06","2021-06-19"
0.05,240,"quantile","GM","2 wk ahead inc death","2021-06-06","2021-06-19"
