"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,651,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.025,725,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.05,785,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.1,862,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.15,910,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.2,970,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.25,1020,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.3,1065,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.35,1108,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.4,1156,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.45,1200,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.5,1234,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
NA,1234,"point","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.55,1283,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.6,1332,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.65,1387,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.7,1445,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.75,1511,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.8,1600,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.85,1688,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.9,1853,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.95,2014,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.975,2207,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.99,2385,"quantile","GM","1 wk ahead inc death","2021-11-14","2021-11-20"
0.01,644,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.025,721,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.05,808,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.1,919,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.15,1034,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.2,1103,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.25,1178,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.3,1227,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.35,1274,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.4,1318,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.45,1385,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.5,1450,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
NA,1450,"point","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.55,1518,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.6,1588,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.65,1652,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.7,1744,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.75,1824,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
0.8,1925,"quantile","GM","2 wk ahead inc death","2021-11-14","2021-11-27"
