"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,1088,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.025,1252,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.05,1364,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.1,1538,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.15,1683,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.2,1782,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.25,1885,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.3,1987,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.35,2076,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.4,2161,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.45,2250,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.5,2367,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
NA,2367,"point","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.55,2450,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.6,2548,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.65,2646,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.7,2747,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.75,2863,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.8,2993,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.85,3181,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.9,3345,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.95,3781,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.975,4121,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.99,4641,"quantile","PL","1 wk ahead inc death","2021-11-21","2021-11-27"
0.01,1355,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.025,1518,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.05,1686,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.1,2022,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.15,2241,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.2,2379,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.25,2511,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.3,2675,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.35,2819,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.4,2911,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.45,3082,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.5,3234,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
NA,3234,"point","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.55,3387,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.6,3568,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.65,3719,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.7,3884,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.75,4058,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.8,4281,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.85,4568,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.9,4974,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.95,5554,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.975,6084,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.99,6955,"quantile","PL","2 wk ahead inc death","2021-11-21","2021-12-04"
0.01,1660,"quantile","PL","3 wk ahead inc death","2021-11-21","2021-12-11"
0.025,1903,"quantile","PL","3 wk ahead inc death","2021-11-21","2021-12-11"
0.05,2186,"quantile","PL","3 wk ahead inc death","2021-11-21","2021-12-11"
0.1,2575,"quantile","PL","3 wk ahead inc death","2021-11-21","2021-12-11"
0.15,2872,"quantile","PL","3 wk ahead inc death","2021-11-21","2021-12-11"
