"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,1423,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.025,1665,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.05,1931,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.1,2092,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.15,2269,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.2,2381,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.25,2501,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.3,2606,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.35,2699,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.4,2825,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.45,2949,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.5,3057,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
NA,3057,"point","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.55,3172,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.6,3270,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.65,3385,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.7,3515,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.75,3650,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.8,3853,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.85,4020,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.9,4297,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.95,4719,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.975,5119,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.99,5554,"quantile","PL","1 wk ahead inc death","2021-12-12","2021-12-18"
0.01,1510,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
0.025,1646,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
0.05,1857,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
0.1,2138,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
0.15,2302,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
0.2,2493,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
0.25,2648,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
0.3,2741,"quantile","PL","2 wk ahead inc death","2021-12-12","2021-12-25"
