"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,2385,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.025,2539,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.05,2786,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.1,3057,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.15,3245,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.2,3431,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.25,3581,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.3,3695,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.35,3803,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.4,3916,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.45,4036,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.5,4167,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
NA,4167,"point","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.55,4305,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.6,4434,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.65,4580,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.7,4741,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.75,4927,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.8,5071,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.85,5228,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.9,5449,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.95,5881,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.975,6238,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.99,6917,"quantile","PL","1 wk ahead inc death","2021-04-04","2021-04-10"
0.01,2594,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.025,2790,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.05,3041,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.1,3316,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.15,3475,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.2,3714,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.25,3888,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.3,4032,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.35,4189,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.4,4314,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.45,4435,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
0.5,4571,"quantile","PL","2 wk ahead inc death","2021-04-04","2021-04-17"
