"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,33636,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.025,39277,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.05,44267,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.1,51689,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.15,57757,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.2,63286,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.25,68012,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.3,72538,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.35,76635,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.4,80841,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.45,84051,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.5,88387,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
NA,88387,"point","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.55,93307,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.6,99111,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.65,104787,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.7,110291,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.75,118180,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.8,126114,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.85,139386,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.9,155606,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.95,177885,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.975,204506,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.99,240911,"quantile","GM","1 wk ahead inc case","2021-05-09","2021-05-15"
0.01,16943,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.025,22077,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.05,28633,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.1,35921,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.15,41739,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.2,47696,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.25,52540,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.3,58052,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.35,62245,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.4,67704,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.45,73642,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.5,79665,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
NA,79665,"point","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.55,86335,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.6,92502,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.65,99694,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.7,108566,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.75,117334,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.8,129596,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.85,145297,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.9,174850,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.95,209046,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.975,241660,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.99,287008,"quantile","GM","2 wk ahead inc case","2021-05-09","2021-05-22"
0.01,10947,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.025,14018,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.05,17302,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.1,23976,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.15,29874,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.2,34735,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.25,40975,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.3,44680,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.35,50995,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.4,57304,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.45,64065,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.5,69908,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
NA,69908,"point","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.55,76310,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.6,84175,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.65,93438,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
0.7,104405,"quantile","GM","3 wk ahead inc case","2021-05-09","2021-05-29"
