"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,665,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.025,771,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.05,829,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.1,912,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.15,977,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.2,1036,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.25,1068,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.3,1111,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.35,1151,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.4,1210,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.45,1260,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.5,1296,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
NA,1296,"point","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.55,1352,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.6,1398,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.65,1445,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.7,1496,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.75,1557,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.8,1633,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.85,1705,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.9,1823,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.95,2005,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.975,2178,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.99,2397,"quantile","GM","1 wk ahead inc death","2021-05-09","2021-05-15"
0.01,519,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.025,608,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.05,665,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.1,756,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.15,837,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.2,886,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.25,943,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.3,992,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.35,1034,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.4,1072,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.45,1117,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
0.5,1154,"quantile","GM","2 wk ahead inc death","2021-05-09","2021-05-22"
