"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,1060,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.025,1164,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.05,1262,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.1,1408,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.15,1538,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.2,1644,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.25,1713,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.3,1795,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.35,1888,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.4,1956,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.45,2011,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.5,2089,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
NA,2089,"point","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.55,2159,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.6,2233,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.65,2348,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.7,2454,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.75,2529,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.8,2626,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.85,2760,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.9,2931,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.95,3260,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.975,3554,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.99,3896,"quantile","PL","1 wk ahead inc case","2021-06-06","2021-06-12"
0.01,465,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.025,528,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.05,584,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.1,683,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.15,757,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.2,837,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.25,905,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.3,965,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.35,1029,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.4,1076,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.45,1131,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.5,1174,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
NA,1174,"point","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.55,1226,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.6,1291,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.65,1360,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.7,1432,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.75,1530,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
0.8,1633,"quantile","PL","2 wk ahead inc case","2021-06-06","2021-06-19"
