"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,209,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.025,234,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.05,252,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.1,276,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.15,293,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.2,310,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.25,324,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.3,340,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.35,352,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.4,365,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.45,376,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.5,388,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
NA,388,"point","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.55,400,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.6,415,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.65,426,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.7,441,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.75,457,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.8,480,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.85,512,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.9,545,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.95,591,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.975,636,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.99,666,"quantile","GM","1 wk ahead inc death","2021-06-13","2021-06-19"
0.01,136,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.025,162,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.05,182,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.1,205,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.15,222,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.2,235,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.25,248,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.3,261,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.35,271,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.4,280,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.45,292,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.5,303,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
NA,303,"point","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.55,316,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.6,328,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.65,339,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.7,353,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.75,376,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.8,398,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.85,418,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.9,456,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.95,505,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.975,548,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.99,616,"quantile","GM","2 wk ahead inc death","2021-06-13","2021-06-26"
0.01,100,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.025,121,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.05,131,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.1,147,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.15,159,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.2,175,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.25,183,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.3,190,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.35,201,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.4,211,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.45,225,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.5,236,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
NA,236,"point","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.55,248,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.6,263,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.65,279,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.7,300,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.75,324,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.8,352,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.85,398,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.9,450,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.95,557,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.975,648,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.99,826,"quantile","GM","3 wk ahead inc death","2021-06-13","2021-07-03"
0.01,66,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.025,77,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.05,90,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.1,104,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.15,114,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.2,123,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.25,133,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.3,143,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.35,154,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.4,165,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.45,178,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.5,190,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
NA,190,"point","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.55,207,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.6,230,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.65,253,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.7,283,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.75,323,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.8,358,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.85,413,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.9,518,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.95,778,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.975,1072,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
0.99,1520,"quantile","GM","4 wk ahead inc death","2021-06-13","2021-07-10"
