"forecast_date","target","target_end_date","location","quantile","value","type"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.01,1342,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.01,413,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.01,208,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.01,144,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.025,1347,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.025,417,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.025,210,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.025,146,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.05,1350,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.05,419,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.05,211,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.05,147,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.1,1356,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.1,424,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.1,214,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.1,149,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.15,1362,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.15,428,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.15,217,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.15,150,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.2,1382,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.2,443,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.2,225,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.2,156,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.25,1391,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.25,450,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.25,229,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.25,159,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.3,1397,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.3,455,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.3,232,"quantile"
