"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-11","1 wk ahead inc case","2021-07-17","GM","quantile",0.01,3641
"2021-07-11","2 wk ahead inc case","2021-07-24","GM","quantile",0.01,2796
"2021-07-11","3 wk ahead inc case","2021-07-31","GM","quantile",0.01,1994
"2021-07-11","4 wk ahead inc case","2021-08-07","GM","quantile",0.01,1276
"2021-07-11","5 wk ahead inc case","2021-08-14","GM","quantile",0.01,702
"2021-07-11","1 wk ahead inc case","2021-07-17","GM","quantile",0.025,3641
"2021-07-11","2 wk ahead inc case","2021-07-24","GM","quantile",0.025,2796
"2021-07-11","3 wk ahead inc case","2021-07-31","GM","quantile",0.025,1994
"2021-07-11","4 wk ahead inc case","2021-08-07","GM","quantile",0.025,1276
"2021-07-11","5 wk ahead inc case","2021-08-14","GM","quantile",0.025,702
"2021-07-11","1 wk ahead inc case","2021-07-17","GM","quantile",0.05,3641
"2021-07-11","2 wk ahead inc case","2021-07-24","GM","quantile",0.05,2796
"2021-07-11","3 wk ahead inc case","2021-07-31","GM","quantile",0.05,1994
"2021-07-11","4 wk ahead inc case","2021-08-07","GM","quantile",0.05,1276
"2021-07-11","5 wk ahead inc case","2021-08-14","GM","quantile",0.05,702
"2021-07-11","1 wk ahead inc case","2021-07-17","GM","quantile",0.1,3700
"2021-07-11","2 wk ahead inc case","2021-07-24","GM","quantile",0.1,2861
"2021-07-11","3 wk ahead inc case","2021-07-31","GM","quantile",0.1,2064
"2021-07-11","4 wk ahead inc case","2021-08-07","GM","quantile",0.1,1353
"2021-07-11","5 wk ahead inc case","2021-08-14","GM","quantile",0.1,782
"2021-07-11","1 wk ahead inc case","2021-07-17","GM","quantile",0.15,3734
"2021-07-11","2 wk ahead inc case","2021-07-24","GM","quantile",0.15,2888
"2021-07-11","3 wk ahead inc case","2021-07-31","GM","quantile",0.15,2087
"2021-07-11","4 wk ahead inc case","2021-08-07","GM","quantile",0.15,1377
"2021-07-11","5 wk ahead inc case","2021-08-14","GM","quantile",0.15,801
"2021-07-11","1 wk ahead inc case","2021-07-17","GM","quantile",0.2,3758
