"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.01,351
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.01,225
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.01,133
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.01,76
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.01,39
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.025,351
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.025,225
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.025,133
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.025,76
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.025,39
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.05,351
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.05,225
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.05,133
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.05,76
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.05,39
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.1,352
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.1,225
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.1,133
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.1,77
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.1,39
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.15,352
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.15,225
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.15,134
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.15,77
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.15,40
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.2,353
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.2,226
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.2,134
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.2,77
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.2,40
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.25,353
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.25,226
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.25,134
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.25,78
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.25,40
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.3,354
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.3,227
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.3,135
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.3,78
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.3,40
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.35,451
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.35,317
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.35,218
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.35,148
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.35,97
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.4,451
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.4,317
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.4,218
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.4,148
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.4,97
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.45,452
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.45,318
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.45,219
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.45,149
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.45,98
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.5,452
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.5,318
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.5,219
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.5,149
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.5,98
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.55,452
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.55,318
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.55,219
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.55,149
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.55,98
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.6,453
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.6,319
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.6,220
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.6,150
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.6,99
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.65,453
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.65,319
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.65,220
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.65,150
"2021-07-11","5 wk ahead inc case","2021-08-14","PL","quantile",0.65,99
"2021-07-11","1 wk ahead inc case","2021-07-17","PL","quantile",0.7,635
"2021-07-11","2 wk ahead inc case","2021-07-24","PL","quantile",0.7,506
"2021-07-11","3 wk ahead inc case","2021-07-31","PL","quantile",0.7,409
"2021-07-11","4 wk ahead inc case","2021-08-07","PL","quantile",0.7,344
