"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.01,138
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.01,142
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.01,173
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.01,206
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.01,242
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.025,138
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.025,142
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.025,173
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.025,206
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.025,242
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.05,138
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.05,142
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.05,173
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.05,207
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.05,243
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.1,138
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.1,142
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.1,173
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.1,208
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.1,245
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.15,154
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.15,174
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.15,211
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.15,253
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.15,298
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.2,169
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.2,206
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.2,250
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.2,299
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.2,352
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.25,169
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.25,206
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.25,250
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.25,300
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.25,354
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.3,174
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.3,221
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.3,270
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.3,326
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.3,385
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.35,180
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.35,238
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.35,291
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.35,351
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.35,415
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.4,187
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.4,245
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.4,298
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.4,358
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.4,422
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.45,193
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.45,252
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.45,304
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.45,365
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.45,429
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.5,197
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.5,255
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.5,308
"2021-07-25","4 wk ahead inc death","2021-08-21","GM","quantile",0.5,368
"2021-07-25","5 wk ahead inc death","2021-08-28","GM","quantile",0.5,432
"2021-07-25","1 wk ahead inc death","2021-07-31","GM","quantile",0.55,203
"2021-07-25","2 wk ahead inc death","2021-08-07","GM","quantile",0.55,270
"2021-07-25","3 wk ahead inc death","2021-08-14","GM","quantile",0.55,326
