"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.01,15
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.01,13
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.01,16
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.01,19
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.01,24
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.025,15
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.025,13
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.025,16
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.025,19
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.025,24
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.05,18
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.05,16
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.05,18
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.05,21
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.05,25
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.1,21
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.1,19
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.1,21
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.1,24
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.1,28
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.15,21
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.15,19
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.15,21
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.15,24
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.15,28
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.2,22
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.2,19
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.2,22
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.2,25
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.2,29
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.25,22
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.25,20
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.25,23
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.25,26
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.25,30
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.3,22
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.3,20
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.3,23
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.3,26
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.3,30
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.35,22
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.35,20
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.35,23
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.35,26
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.35,30
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.4,22
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.4,21
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.4,23
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.4,26
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.4,31
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.45,23
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.45,21
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.45,24
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.45,27
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.45,31
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.5,23
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.5,21
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.5,24
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.5,27
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.5,32
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.55,23
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.55,21
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.55,24
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.55,27
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.55,32
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.6,23
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.6,21
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.6,24
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.6,27
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.6,32
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.65,23
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.65,21
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.65,24
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.65,27
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.65,33
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.7,23
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.7,22
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.7,24
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.7,28
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.7,33
"2021-07-25","1 wk ahead inc death","2021-07-31","PL","quantile",0.75,23
"2021-07-25","2 wk ahead inc death","2021-08-07","PL","quantile",0.75,22
"2021-07-25","3 wk ahead inc death","2021-08-14","PL","quantile",0.75,25
"2021-07-25","4 wk ahead inc death","2021-08-21","PL","quantile",0.75,28
"2021-07-25","5 wk ahead inc death","2021-08-28","PL","quantile",0.75,33
