forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,point,NA,13292
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.01,2104
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.025,6264
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.05,8538
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.1,10214
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.15,10590
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.2,11937
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.25,12419
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.3,12686
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.35,12865
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.4,13056
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.45,13176
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.5,13292
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.55,13731
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.6,13918
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.65,15094
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.7,15330
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.75,15651
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.8,16935
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.85,17236
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.9,17636
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.95,19585
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.975,22810
2022-09-04,1 wk ahead inc case,2022-09-10,GM01,GM01,quantile,0.99,23332
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,point,NA,4409631
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.01,4398443
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.025,4402603
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.05,4404877
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.1,4406553
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.15,4406929
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.2,4408276
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.25,4408758
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.3,4409025
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.35,4409204
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.4,4409395
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.45,4409515
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.5,4409631
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.55,4410070
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.6,4410257
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.65,4411433
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.7,4411669
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.75,4411990
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.8,4413274
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.85,4413575
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.9,4413975
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.95,4415924
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.975,4419149
2022-09-04,1 wk ahead cum case,2022-09-10,GM01,GM01,quantile,0.99,4419671
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,point,NA,8567
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.01,1186
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.025,2189
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.05,3518
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.1,5593
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.15,6225
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.2,6607
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.25,7624
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.3,8155
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.35,8406
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.4,8546
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.45,8554
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.5,8567
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.55,8756
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.6,8933
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.65,9434
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.7,9923
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.75,10417
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.8,10609
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.85,10832
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.9,11704
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.95,17757
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.975,21546
2022-09-04,2 wk ahead inc case,2022-09-17,GM01,GM01,quantile,0.99,23550
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,point,NA,4418198
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.01,4410817
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.025,4411820
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.05,4413149
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.1,4415224
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.15,4415856
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.2,4416238
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.25,4417255
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.3,4417786
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.35,4418037
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.4,4418177
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.45,4418185
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.5,4418198
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.55,4418387
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.6,4418564
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.65,4419065
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.7,4419554
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.75,4420048
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.8,4420240
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.85,4420463
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.9,4421335
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.95,4427388
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.975,4431177
2022-09-04,2 wk ahead cum case,2022-09-17,GM01,GM01,quantile,0.99,4433181
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,point,NA,5455
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.01,0
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.025,0
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.05,0
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.1,0
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.15,511
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.2,2358
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.25,3224
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.3,3559
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.35,4003
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.4,4704
2022-09-04,3 wk ahead inc case,2022-09-24,GM01,GM01,quantile,0.45,5175
