forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,point,NA,964
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.01,179
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.025,369
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.05,523
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.1,654
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.15,687
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.2,699
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.25,726
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.3,819
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.35,874
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.4,877
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.45,928
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.5,964
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.55,1008
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.6,1014
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.65,1028
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.7,1092
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.75,1185
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.8,1736
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.85,1800
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.9,1855
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.95,1990
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.975,2100
2022-09-04,1 wk ahead inc case,2022-09-10,PL72,PL72,quantile,0.99,2166
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,point,NA,429905
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.01,429120
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.025,429310
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.05,429464
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.1,429595
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.15,429628
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.2,429640
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.25,429667
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.3,429760
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.35,429815
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.4,429818
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.45,429869
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.5,429905
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.55,429949
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.6,429955
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.65,429969
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.7,430033
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.75,430126
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.8,430677
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.85,430741
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.9,430796
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.95,430931
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.975,431041
2022-09-04,1 wk ahead cum case,2022-09-10,PL72,PL72,quantile,0.99,431107
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,point,NA,820
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.01,111
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.025,125
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.05,187
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.1,317
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.15,446
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.2,476
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.25,563
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.3,669
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.35,713
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.4,754
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.45,765
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.5,820
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.55,846
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.6,923
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.65,1028
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.7,1182
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.75,1350
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.8,1472
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.85,1524
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.9,1554
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.95,1659
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.975,1720
2022-09-04,2 wk ahead inc case,2022-09-17,PL72,PL72,quantile,0.99,1852
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,point,NA,430725
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.01,430016
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.025,430030
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.05,430092
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.1,430222
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.15,430351
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.2,430381
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.25,430468
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.3,430574
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.35,430618
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.4,430659
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.45,430670
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.5,430725
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.55,430751
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.6,430828
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.65,430933
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.7,431087
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.75,431255
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.8,431377
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.85,431429
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.9,431459
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.95,431564
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.975,431625
2022-09-04,2 wk ahead cum case,2022-09-17,PL72,PL72,quantile,0.99,431757
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,point,NA,684
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.01,0
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.025,0
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.05,57
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.1,245
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.15,311
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.2,372
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.25,401
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.3,453
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.35,467
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.4,512
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.45,547
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.5,684
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.55,857
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.6,920
2022-09-04,3 wk ahead inc case,2022-09-24,PL72,PL72,quantile,0.65,1066
