forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,point,NA,8
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.01,1
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.025,3
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.05,4
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.1,5
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.15,5
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.2,5
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.25,6
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.3,7
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.35,7
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.4,7
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.45,7
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.5,8
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.55,8
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.6,8
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.65,9
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.7,10
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.75,10
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.8,11
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.85,11
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.9,12
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.95,12
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.975,12
2022-09-04,1 wk ahead inc death,2022-09-10,PL72,PL72,quantile,0.99,13
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,point,NA,7214
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.01,7207
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.025,7209
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.05,7210
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.1,7211
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.15,7211
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.2,7211
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.25,7212
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.3,7213
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.35,7213
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.4,7213
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.45,7213
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.5,7214
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.55,7214
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.6,7214
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.65,7215
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.7,7216
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.75,7216
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.8,7217
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.85,7217
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.9,7218
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.95,7218
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.975,7218
2022-09-04,1 wk ahead cum death,2022-09-10,PL72,PL72,quantile,0.99,7219
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,point,NA,9
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.01,2
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.025,4
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.05,5
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.1,5
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.15,6
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.2,6
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.25,7
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.3,8
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.35,8
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.4,8
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.45,9
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.5,9
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.55,9
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.6,10
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.65,10
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.7,11
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.75,11
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.8,11
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.85,12
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.9,13
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.95,13
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.975,13
2022-09-04,2 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.99,14
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,point,NA,7223
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.01,7216
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.025,7218
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.05,7219
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.1,7219
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.15,7220
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.2,7220
2022-09-04,2 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.25,7221
