forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,point,NA,55
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.01,17
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.025,19
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.05,22
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.1,28
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.15,32
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.2,33
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.25,38
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.3,40
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.35,41
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.4,42
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.45,48
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.5,55
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.55,60
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.6,61
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.65,62
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.7,68
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.75,72
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.8,73
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.85,78
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.9,83
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.95,95
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.975,119
2022-09-11,1 wk ahead inc death,2022-09-17,GM01,GM01,quantile,0.99,144
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,point,NA,17103
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.01,17065
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.025,17067
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.05,17070
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.1,17076
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.15,17080
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.2,17081
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.25,17086
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.3,17088
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.35,17089
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.4,17090
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.45,17096
2022-09-11,1 wk ahead cum death,2022-09-17,GM01,GM01,quantile,0.5,17103
