"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","point",NA,50778
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","quantile",0.025,27593
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","quantile",0.1,35618
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","quantile",0.25,42799
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","quantile",0.5,50778
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","quantile",0.75,58756
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","quantile",0.9,65937
"2021-10-04","1 wk ahead inc case","2021-10-09","GM","quantile",0.975,73962
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","point",NA,50621
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","quantile",0.025,14522
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","quantile",0.1,27018
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","quantile",0.25,38199
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","quantile",0.5,50621
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","quantile",0.75,63044
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","quantile",0.9,74225
"2021-10-04","2 wk ahead inc case","2021-10-16","GM","quantile",0.975,86721
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","point",NA,46464
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","quantile",0.025,0
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","quantile",0.1,15287
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","quantile",0.25,30055
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","quantile",0.5,46464
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","quantile",0.75,62873
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","quantile",0.9,77642
"2021-10-04","3 wk ahead inc case","2021-10-23","GM","quantile",0.975,94146
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","point",NA,44359
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","quantile",0.025,11650
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","quantile",0.1,22972
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","quantile",0.25,33103
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","quantile",0.5,44359
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","quantile",0.75,55616
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","quantile",0.9,65747
"2021-10-04","4 wk ahead inc case","2021-10-30","GM","quantile",0.975,77068
