"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","point",NA,7209
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","quantile",0.025,0
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","quantile",0.1,0
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","quantile",0.25,0
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","quantile",0.5,7209
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","quantile",0.75,26321
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","quantile",0.9,43522
"2022-04-18","1 wk ahead inc case","2022-04-23","PL","quantile",0.975,62745
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","point",NA,681
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","quantile",0.025,0
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","quantile",0.1,0
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","quantile",0.25,0
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","quantile",0.5,681
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","quantile",0.75,16647
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","quantile",0.9,31017
"2022-04-18","2 wk ahead inc case","2022-04-30","PL","quantile",0.975,47076
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","point",NA,668
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","quantile",0.025,0
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","quantile",0.1,0
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","quantile",0.25,0
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","quantile",0.5,668
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","quantile",0.75,4203
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","quantile",0.9,7385
"2022-04-18","3 wk ahead inc case","2022-05-07","PL","quantile",0.975,10941
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","point",NA,655
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","quantile",0.025,0
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","quantile",0.1,0
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","quantile",0.25,0
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","quantile",0.5,655
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","quantile",0.75,2830
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","quantile",0.9,4789
"2022-04-18","4 wk ahead inc case","2022-05-14","PL","quantile",0.975,6977
