"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.01,44124
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.025,49185
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.05,53538
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.1,58557
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.15,61943
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.2,64634
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.25,66943
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.3,69016
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.35,70938
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.4,72761
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.45,74525
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.5,76261
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.55,77997
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.6,79761
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.65,81584
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.7,83505
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.75,85578
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.8,87887
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.85,90578
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.9,93965
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.95,98983
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.975,103336
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.99,108398
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","point",NA,76260.7
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.01,24935
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.025,33122
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.05,40163
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.1,48281
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.15,53758
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.2,58112
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.25,61846
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.3,65200
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.35,68308
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.4,71257
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.45,74110
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.5,76918
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.55,79726
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.6,82579
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.65,85528
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.7,88636
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.75,91989
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.8,95724
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.85,100077
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.9,105554
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.95,113672
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.975,120714
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.99,128901
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","point",NA,76917.8
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.01,-23090
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.025,-6930
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.05,6968
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.1,22992
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.15,33803
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.2,42395
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.25,49766
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.3,56386
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.35,62520
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.4,68341
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.45,73973
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.5,79515
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.55,85058
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.6,90689
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.65,96510
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.7,102644
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.75,109264
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.8,116636
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.85,125228
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.9,136039
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.95,152063
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.975,165961
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.99,182120
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","point",NA,79515.2
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.01,-86813
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.025,-59975
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.05,-36894
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.1,-10283
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.15,7672
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.2,21942
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.25,34184
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.3,45178
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.35,55365
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.4,65032
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.45,74385
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.5,83589
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.55,92794
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.6,102147
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.65,111814
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.7,122001
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.75,132995
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.8,145237
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.85,159507
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.9,177462
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.95,204073
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.975,227154
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","quantile",0.99,253992
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","point",NA,83589.5
