"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.01,1349
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.025,1677
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.05,1959
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.1,2283
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.15,2502
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.2,2676
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.25,2826
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.3,2960
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.35,3084
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.4,3202
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.45,3316
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.5,3429
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.55,3541
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.6,3655
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.65,3773
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.7,3897
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.75,4032
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.8,4181
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.85,4355
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.9,4574
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.95,4899
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.975,5180
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","quantile",0.99,5508
"2021-04-05","1 wk ahead inc death","2021-04-10","PL","point",NA,3428.7
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.01,1457
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.025,1853
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.05,2195
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.1,2588
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.15,2853
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.2,3064
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.25,3245
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.3,3408
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.35,3558
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.4,3701
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.45,3839
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.5,3975
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.55,4111
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.6,4250
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.65,4393
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.7,4543
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.75,4706
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.8,4887
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.85,5098
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.9,5363
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.95,5756
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.975,6097
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","quantile",0.99,6494
"2021-04-05","2 wk ahead inc death","2021-04-17","PL","point",NA,3975.4
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.01,1539
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.025,2063
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.05,2514
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.1,3033
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.15,3384
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.2,3662
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.25,3901
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.3,4116
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.35,4315
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.4,4504
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.45,4686
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.5,4866
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.55,5046
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.6,5228
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.65,5417
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.7,5616
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.75,5831
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.8,6070
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.85,6348
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.9,6699
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.95,7218
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.975,7669
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","quantile",0.99,8193
"2021-04-05","3 wk ahead inc death","2021-04-24","PL","point",NA,4866.01
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.01,1326
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.025,2041
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.05,2655
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.1,3364
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.15,3842
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.2,4222
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.25,4548
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.3,4841
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.35,5112
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.4,5370
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.45,5619
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.5,5864
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.55,6109
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.6,6358
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.65,6616
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.7,6887
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.75,7180
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.8,7506
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.85,7886
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.9,8364
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.95,9073
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.975,9687
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","quantile",0.99,10402
"2021-04-05","4 wk ahead inc death","2021-05-01","PL","point",NA,5864.02
