"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.01,193
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.025,458
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.05,685
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.1,948
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.15,1125
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.2,1265
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.25,1386
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.3,1494
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.35,1595
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.4,1690
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.45,1782
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.5,1873
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.55,1963
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.6,2056
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.65,2151
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.7,2251
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.75,2360
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.8,2480
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.85,2621
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.9,2798
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.95,3060
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.975,3288
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","quantile",0.99,3552
"2021-04-12","1 wk ahead inc death","2021-04-17","GM","point",NA,1873
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.01,0
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.025,200
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.05,410
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.1,653
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.15,817
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.2,947
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.25,1059
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.3,1160
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.35,1252
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.4,1341
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.45,1426
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.5,1510
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.55,1594
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.6,1679
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.65,1768
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.7,1861
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.75,1961
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.8,2073
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.85,2203
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.9,2367
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.95,2610
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.975,2820
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","quantile",0.99,3065
"2021-04-12","2 wk ahead inc death","2021-04-24","GM","point",NA,1510
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.01,0
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.025,0
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.05,214
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.1,484
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.15,666
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.2,811
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.25,935
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.3,1047
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.35,1150
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.4,1248
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.45,1343
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.5,1437
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.55,1530
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.6,1625
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.65,1723
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.7,1827
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.75,1938
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.8,2062
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.85,2207
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.9,2389
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.95,2660
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.975,2894
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","quantile",0.99,3166
"2021-04-12","3 wk ahead inc death","2021-05-01","GM","point",NA,1437
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.01,0
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.025,0
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.05,0
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.1,271
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.15,483
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.2,651
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.25,796
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.3,925
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.35,1045
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.4,1159
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.45,1270
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.5,1378
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.55,1487
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.6,1597
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.65,1711
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.7,1831
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.75,1961
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.8,2105
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.85,2273
"2021-04-12","4 wk ahead inc death","2021-05-08","GM","quantile",0.9,2485
