"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.01,42247
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.025,50908
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.05,58356
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.1,66944
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.15,72738
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.2,77342
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.25,81293
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.3,84841
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.35,88128
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.4,91248
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.45,94266
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.5,97236
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.55,100206
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.6,103224
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.65,106344
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.7,109631
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.75,113179
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.8,117130
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.85,121734
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.9,127528
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.95,136116
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.975,143564
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","quantile",0.99,152224
"2021-04-19","1 wk ahead inc case","2021-04-24","PL","point",NA,97236
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.01,9848
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.025,20567
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.05,29786
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.1,40415
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.15,47587
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.2,53286
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.25,58176
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.3,62567
"2021-04-19","2 wk ahead inc case","2021-05-01","PL","quantile",0.35,66636
