"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.01,80391.7071240899,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.025,83330.8265407501,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.05,85967.4854028847,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.1,89138.5414291071,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.15,91360.8884138214,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.2,93176.5679513734,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.25,94770.1515049024,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.3,96230.1736382036,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.35,97608.071504353,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.4,98938.2144927758,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.45,100246.535417587,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.5,101555.03,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.55,102884.64721343,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.6,104257.709836835,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.65,105700.638365522,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.7,107247.901142478,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.75,108948.918936264,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.8,110882.123390705,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.85,113188.703559886,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.9,116174.63178886,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.95,120778.511614621,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.975,124951.8410636,"2021-04-05"
"1 wk ahead inc case","2021-04-10","GM","quantile",0.99,130025.359912304,"2021-04-05"
