"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.01,1299.80460471783,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.025,1357.06695748758,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.05,1408.50997015794,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.1,1470.46361842509,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.15,1513.93279648909,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.2,1549.47652648106,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.25,1580.6929236784,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.3,1609.30907194536,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.35,1636.32916833575,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.4,1662.42488420396,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.45,1688.10368368386,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.5,1713.79666666667,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.55,1739.91511271987,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.6,1766.89797675409,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.65,1795.26549625874,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.7,1825.69708627867,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.75,1859.16763749269,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.8,1897.22517915949,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.85,1942.65760562602,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.9,2001.50895042256,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.95,2092.328463559,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.975,2174.73231149569,"2021-04-19"
"1 wk ahead inc death","2021-04-24","GM","quantile",0.99,2275.00347848784,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.01,1283.11993422958,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.025,1373.06532068822,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.05,1455.9267250354,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.1,1558.26890456045,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.15,1631.72114280949,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.2,1692.77916795589,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.25,1747.1383100248,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.3,1797.56912694815,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.35,1845.71056937417,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.4,1892.68496815954,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.45,1939.36678907208,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.5,1986.52666666667,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.55,2034.92884097092,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.6,2085.41894051048,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.65,2139.02980954434,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.7,2197.14200835718,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.75,2261.77107862609,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.8,2336.15988713946,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.85,2426.21273737222,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.9,2544.86696422699,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.95,2732.36112491242,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.975,2907.02723349636,"2021-04-19"
"2 wk ahead inc death","2021-05-01","GM","quantile",0.99,3125.31085679148,"2021-04-19"
"3 wk ahead inc death","2021-05-08","GM","quantile",0.01,1195.16423058531,"2021-04-19"
