"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.01,78147.2844118952,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.025,82812.9763077575,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.05,87094.2836773168,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.1,92362.6447550708,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.15,96132.1072074683,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.2,99258.8569168307,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.25,102037.891699166,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.3,104612.442916897,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.35,107067.04919855,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.4,109459.434715614,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.45,111834.414975476,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.5,114231.325,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.55,116689.015769309,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.6,119250.322098479,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.65,121967.413971184,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.7,124909.880700071,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.75,128179.17234686,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.8,131938.351009941,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.85,136484.083877559,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.9,142466.006575976,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.95,151903.246606316,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.975,160680.61798481,"2021-04-19"
"1 wk ahead inc case","2021-04-24","PL","quantile",0.99,171634.110277795,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.01,56037.9728666766,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.025,61200.589800463,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.05,66036.7062620652,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.1,72110.2198101323,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.15,76534.4613763348,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.2,80251.9448967022,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.25,83591.0134468245,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.3,86712.9254576514,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.35,89714.2835967092,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.4,92662.3796503544,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.45,95610.7965228267,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.5,98607.9400000001,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.55,101703.022214742,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.6,104951.708730849,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.65,108423.20092725,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.7,112211.237383408,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.75,116454.029618429,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.8,121375.651712032,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.85,127386.743964378,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.9,135393.021210835,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.95,148235.350273545,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.975,160399.444445123,"2021-04-19"
"2 wk ahead inc case","2021-05-01","PL","quantile",0.99,175858.211042023,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.01,41525.9345484311,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.025,46693.8238427718,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.05,51653.3817419293,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.1,58033.0009284326,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.15,62779.5531693547,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.2,66829.0748946038,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.25,70512.0507473287,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.3,73993.211124995,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.35,77373.2078798038,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.4,80724.0312161083,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.45,84104.8994458656,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.5,87571.235,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.55,91181.3152374306,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.6,95002.9685615621,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.65,99122.4045076372,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.7,103658.328542242,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.75,108787.896448434,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.8,114801.047808923,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.85,122233.531478205,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.9,132277.082265908,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.95,148711.133542495,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.975,164620.791018821,"2021-04-19"
"3 wk ahead inc case","2021-05-08","PL","quantile",0.99,185285.723650107,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.01,34476.4093803654,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.025,39918.0602716403,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.05,45280.3427262258,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.1,52362.6644812369,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.15,57756.8003756303,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.2,62437.4939966985,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.25,66754.289247843,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.3,70884.6741449665,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.35,74939.8856236912,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.4,79002.1930678816,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.45,83141.9938144266,"2021-04-19"
"4 wk ahead inc case","2021-05-15","PL","quantile",0.5,87427.9,"2021-04-19"
