"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.01,3106.81286715719,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.025,3198.62034519983,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.05,3280.00261518121,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.1,3376.70482665059,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.15,3443.7394917621,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.2,3498.07162605687,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.25,3545.44288289071,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.3,3588.59095334632,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.35,3629.09443838295,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.4,3667.99732984166,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.45,3706.07657262992,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.5,3743.98,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.55,3782.31304605797,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.6,3821.70900640559,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.65,3862.90544120072,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.7,3906.85234286272,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.75,3954.89874670026,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.8,4009.17008133411,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.85,4073.46995585135,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.9,4155.99534807096,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.95,4281.72006413227,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.975,4394.16332766977,"2021-04-19"
"1 wk ahead inc death","2021-04-24","PL","quantile",0.99,4529.00321575596,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.01,2818.80483552746,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.025,2955.2676393987,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.05,3078.97275355345,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.1,3229.31937279111,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.15,3335.68339781731,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.2,3423.18193850388,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.25,3500.41394851362,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.3,3571.52643304055,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.35,3638.94532231827,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.4,3704.30680123064,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.45,3768.86076514042,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.5,3833.68333333333,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.55,3899.81607498994,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.6,3968.38600471946,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.65,4040.74447418758,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.7,4118.67242212081,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.75,4204.74276840323,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.8,4303.06223371087,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.85,4421.05835435638,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.9,4574.90030437206,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.95,4814.46753948873,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.975,5034.04826096401,"2021-04-19"
"2 wk ahead inc death","2021-05-01","PL","quantile",0.99,5304.00205716113,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.01,2492.40633814749,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.025,2653.5831101686,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.05,2802.82782337395,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.1,2988.19702173042,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.15,3121.95726216402,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.2,3233.60855345896,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.25,3333.36445534935,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.3,3426.21047406766,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.35,3515.11043775444,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.4,3602.10836681144,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.45,3688.81185886449,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.5,3776.65333333334,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.55,3867.06956238259,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.6,3961.66686121748,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.65,4062.42397247031,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.7,4172.00337372606,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.75,4294.31198259542,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.8,4435.66163565424,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.85,4607.58681344645,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.9,4835.46016597545,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.95,5198.60736102369,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.975,5540.2250417059,"2021-04-19"
"3 wk ahead inc death","2021-05-08","PL","quantile",0.99,5971.54064561217,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.01,2111.27511491024,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.025,2289.38965593597,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.05,2458.68394216774,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.1,2674.66974112412,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.15,2834.37059778033,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.2,2970.09591748296,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.25,3093.1948276941,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.3,3209.30025380734,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.35,3321.83871387635,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.4,3433.24894972956,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.45,3545.52658037842,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.5,3660.53,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.55,3780.20518971009,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.6,3906.81019586817,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.65,4043.20953747382,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.7,4193.34368238251,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.75,4363.09181006601,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.8,4562.07844053724,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.85,4808.09990236534,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.9,5140.7885364847,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.95,5686.07989297692,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.975,6215.40344745668,"2021-04-19"
"4 wk ahead inc death","2021-05-15","PL","quantile",0.99,6905.45421659596,"2021-04-19"
