"location","type","quantile","target_end_date","forecast_date","target","value"
"GM","quantile",0.01,"2021-05-15","2021-05-10","1 wk ahead inc case",64901.2228364852
"GM","quantile",0.025,"2021-05-15","2021-05-10","1 wk ahead inc case",67909.4102241925
"GM","quantile",0.05,"2021-05-15","2021-05-10","1 wk ahead inc case",70763.9026957523
"GM","quantile",0.1,"2021-05-15","2021-05-10","1 wk ahead inc case",74308.5376393893
"GM","quantile",0.15,"2021-05-15","2021-05-10","1 wk ahead inc case",76641.2141153727
"GM","quantile",0.2,"2021-05-15","2021-05-10","1 wk ahead inc case",78745.303677933
"GM","quantile",0.25,"2021-05-15","2021-05-10","1 wk ahead inc case",80458.3944541991
"GM","quantile",0.3,"2021-05-15","2021-05-10","1 wk ahead inc case",82257.6369287672
"GM","quantile",0.35,"2021-05-15","2021-05-10","1 wk ahead inc case",83942.8015491799
"GM","quantile",0.4,"2021-05-15","2021-05-10","1 wk ahead inc case",85490.9722291372
"GM","quantile",0.45,"2021-05-15","2021-05-10","1 wk ahead inc case",87106.9510527231
"GM","quantile",0.5,"2021-05-15","2021-05-10","1 wk ahead inc case",88650.172
"GM","quantile",0.55,"2021-05-15","2021-05-10","1 wk ahead inc case",90216.1860759825
"GM","quantile",0.6,"2021-05-15","2021-05-10","1 wk ahead inc case",91801.0276167932
"GM","quantile",0.65,"2021-05-15","2021-05-10","1 wk ahead inc case",93640.5842813056
"GM","quantile",0.7,"2021-05-15","2021-05-10","1 wk ahead inc case",95461.8333507046
"GM","quantile",0.75,"2021-05-15","2021-05-10","1 wk ahead inc case",97483.0053138256
"GM","quantile",0.8,"2021-05-15","2021-05-10","1 wk ahead inc case",100003.227127908
"GM","quantile",0.85,"2021-05-15","2021-05-10","1 wk ahead inc case",102718.806714903
"GM","quantile",0.9,"2021-05-15","2021-05-10","1 wk ahead inc case",106711.838742801
"GM","quantile",0.95,"2021-05-15","2021-05-10","1 wk ahead inc case",112387.374002911
"GM","quantile",0.975,"2021-05-15","2021-05-10","1 wk ahead inc case",117753.619653369
"GM","quantile",0.99,"2021-05-15","2021-05-10","1 wk ahead inc case",124746.046849334
