"location","type","quantile","target_end_date","forecast_date","target","value"
"GM","quantile",0.01,"2021-05-15","2021-05-10","1 wk ahead inc death",1340.4329767726
"GM","quantile",0.025,"2021-05-15","2021-05-10","1 wk ahead inc death",1369.08353427774
"GM","quantile",0.05,"2021-05-15","2021-05-10","1 wk ahead inc death",1393.79141356887
"GM","quantile",0.1,"2021-05-15","2021-05-10","1 wk ahead inc death",1422.42152430185
"GM","quantile",0.15,"2021-05-15","2021-05-10","1 wk ahead inc death",1443.1110223132
"GM","quantile",0.2,"2021-05-15","2021-05-10","1 wk ahead inc death",1459.03067974186
"GM","quantile",0.25,"2021-05-15","2021-05-10","1 wk ahead inc death",1473.12784500694
"GM","quantile",0.3,"2021-05-15","2021-05-10","1 wk ahead inc death",1485.51256719879
"GM","quantile",0.35,"2021-05-15","2021-05-10","1 wk ahead inc death",1496.69865472392
"GM","quantile",0.4,"2021-05-15","2021-05-10","1 wk ahead inc death",1508.44128732272
"GM","quantile",0.45,"2021-05-15","2021-05-10","1 wk ahead inc death",1519.2242398789
"GM","quantile",0.5,"2021-05-15","2021-05-10","1 wk ahead inc death",1530.5
"GM","quantile",0.55,"2021-05-15","2021-05-10","1 wk ahead inc death",1541.75939479549
"GM","quantile",0.6,"2021-05-15","2021-05-10","1 wk ahead inc death",1553.13038220147
"GM","quantile",0.65,"2021-05-15","2021-05-10","1 wk ahead inc death",1566.18601222698
"GM","quantile",0.7,"2021-05-15","2021-05-10","1 wk ahead inc death",1579.79197567974
"GM","quantile",0.75,"2021-05-15","2021-05-10","1 wk ahead inc death",1593.93668312766
"GM","quantile",0.8,"2021-05-15","2021-05-10","1 wk ahead inc death",1609.46676853727
"GM","quantile",0.85,"2021-05-15","2021-05-10","1 wk ahead inc death",1628.52077602354
"GM","quantile",0.9,"2021-05-15","2021-05-10","1 wk ahead inc death",1652.66362244542
"GM","quantile",0.95,"2021-05-15","2021-05-10","1 wk ahead inc death",1688.00555918717
"GM","quantile",0.975,"2021-05-15","2021-05-10","1 wk ahead inc death",1724.35721026487
"GM","quantile",0.99,"2021-05-15","2021-05-10","1 wk ahead inc death",1767.19880384477
"GM","quantile",0.01,"2021-05-22","2021-05-10","2 wk ahead inc death",1145.29055556427
"GM","quantile",0.025,"2021-05-22","2021-05-10","2 wk ahead inc death",1186.08889521252
"GM","quantile",0.05,"2021-05-22","2021-05-10","2 wk ahead inc death",1221.83406346128
"GM","quantile",0.1,"2021-05-22","2021-05-10","2 wk ahead inc death",1265.74536087599
"GM","quantile",0.15,"2021-05-22","2021-05-10","2 wk ahead inc death",1295.41035087584
"GM","quantile",0.2,"2021-05-22","2021-05-10","2 wk ahead inc death",1320.3814591509
"GM","quantile",0.25,"2021-05-22","2021-05-10","2 wk ahead inc death",1341.87141189331
"GM","quantile",0.3,"2021-05-22","2021-05-10","2 wk ahead inc death",1361.84136869396
"GM","quantile",0.35,"2021-05-22","2021-05-10","2 wk ahead inc death",1380.23643720182
"GM","quantile",0.4,"2021-05-22","2021-05-10","2 wk ahead inc death",1398.35089752753
"GM","quantile",0.45,"2021-05-22","2021-05-10","2 wk ahead inc death",1415.74548006191
"GM","quantile",0.5,"2021-05-22","2021-05-10","2 wk ahead inc death",1433.17
"GM","quantile",0.55,"2021-05-22","2021-05-10","2 wk ahead inc death",1450.34337962789
"GM","quantile",0.6,"2021-05-22","2021-05-10","2 wk ahead inc death",1466.96140531444
"GM","quantile",0.65,"2021-05-22","2021-05-10","2 wk ahead inc death",1485.58173304068
"GM","quantile",0.7,"2021-05-22","2021-05-10","2 wk ahead inc death",1505.57009820058
"GM","quantile",0.75,"2021-05-22","2021-05-10","2 wk ahead inc death",1527.04076949446
"GM","quantile",0.8,"2021-05-22","2021-05-10","2 wk ahead inc death",1550.51402071489
"GM","quantile",0.85,"2021-05-22","2021-05-10","2 wk ahead inc death",1578.96621836845
"GM","quantile",0.9,"2021-05-22","2021-05-10","2 wk ahead inc death",1618.01734697254
"GM","quantile",0.95,"2021-05-22","2021-05-10","2 wk ahead inc death",1672.84407838336
"GM","quantile",0.975,"2021-05-22","2021-05-10","2 wk ahead inc death",1724.45761114346
"GM","quantile",0.99,"2021-05-22","2021-05-10","2 wk ahead inc death",1784.19185355791
"GM","quantile",0.01,"2021-05-29","2021-05-10","3 wk ahead inc death",952.675990435043
"GM","quantile",0.025,"2021-05-29","2021-05-10","3 wk ahead inc death",998.963842599102
"GM","quantile",0.05,"2021-05-29","2021-05-10","3 wk ahead inc death",1042.70934661282
"GM","quantile",0.1,"2021-05-29","2021-05-10","3 wk ahead inc death",1094.20862866823
"GM","quantile",0.15,"2021-05-29","2021-05-10","3 wk ahead inc death",1130.90730184416
"GM","quantile",0.2,"2021-05-29","2021-05-10","3 wk ahead inc death",1161.44635606179
"GM","quantile",0.25,"2021-05-29","2021-05-10","3 wk ahead inc death",1188.35085497943
"GM","quantile",0.3,"2021-05-29","2021-05-10","3 wk ahead inc death",1213.15632051432
"GM","quantile",0.35,"2021-05-29","2021-05-10","3 wk ahead inc death",1237.7730664494
"GM","quantile",0.4,"2021-05-29","2021-05-10","3 wk ahead inc death",1260.31857448183
"GM","quantile",0.45,"2021-05-29","2021-05-10","3 wk ahead inc death",1282.14884038984
"GM","quantile",0.5,"2021-05-29","2021-05-10","3 wk ahead inc death",1303.91833333333
"GM","quantile",0.55,"2021-05-29","2021-05-10","3 wk ahead inc death",1325.82705884743
"GM","quantile",0.6,"2021-05-29","2021-05-10","3 wk ahead inc death",1349.76159112143
"GM","quantile",0.65,"2021-05-29","2021-05-10","3 wk ahead inc death",1374.16550073193
"GM","quantile",0.7,"2021-05-29","2021-05-10","3 wk ahead inc death",1400.62677353591
"GM","quantile",0.75,"2021-05-29","2021-05-10","3 wk ahead inc death",1429.59762012833
"GM","quantile",0.8,"2021-05-29","2021-05-10","3 wk ahead inc death",1464.26280118827
"GM","quantile",0.85,"2021-05-29","2021-05-10","3 wk ahead inc death",1502.89578736735
"GM","quantile",0.9,"2021-05-29","2021-05-10","3 wk ahead inc death",1551.03922269729
"GM","quantile",0.95,"2021-05-29","2021-05-10","3 wk ahead inc death",1630.4650347105
"GM","quantile",0.975,"2021-05-29","2021-05-10","3 wk ahead inc death",1699.47607195013
"GM","quantile",0.99,"2021-05-29","2021-05-10","3 wk ahead inc death",1790.24409531484
"GM","quantile",0.01,"2021-06-05","2021-05-10","4 wk ahead inc death",762.787771588953
"GM","quantile",0.025,"2021-06-05","2021-05-10","4 wk ahead inc death",814.07813164506
"GM","quantile",0.05,"2021-06-05","2021-05-10","4 wk ahead inc death",859.626974822981
"GM","quantile",0.1,"2021-06-05","2021-05-10","4 wk ahead inc death",914.504040508728
"GM","quantile",0.15,"2021-06-05","2021-05-10","4 wk ahead inc death",956.195071412447
"GM","quantile",0.2,"2021-06-05","2021-05-10","4 wk ahead inc death",991.541220962179
"GM","quantile",0.25,"2021-06-05","2021-05-10","4 wk ahead inc death",1021.62590959116
"GM","quantile",0.3,"2021-06-05","2021-05-10","4 wk ahead inc death",1049.26691396821
"GM","quantile",0.35,"2021-06-05","2021-05-10","4 wk ahead inc death",1075.49922744984
"GM","quantile",0.4,"2021-06-05","2021-05-10","4 wk ahead inc death",1101.64371577525
"GM","quantile",0.45,"2021-06-05","2021-05-10","4 wk ahead inc death",1128.2767387797
"GM","quantile",0.5,"2021-06-05","2021-05-10","4 wk ahead inc death",1154.17333333333
"GM","quantile",0.55,"2021-06-05","2021-05-10","4 wk ahead inc death",1181.36119240994
"GM","quantile",0.6,"2021-06-05","2021-05-10","4 wk ahead inc death",1209.96954785931
"GM","quantile",0.65,"2021-06-05","2021-05-10","4 wk ahead inc death",1239.96911265254
"GM","quantile",0.7,"2021-06-05","2021-05-10","4 wk ahead inc death",1272.25306057784
"GM","quantile",0.75,"2021-06-05","2021-05-10","4 wk ahead inc death",1308.39152546206
"GM","quantile",0.8,"2021-06-05","2021-05-10","4 wk ahead inc death",1350.10638849197
"GM","quantile",0.85,"2021-06-05","2021-05-10","4 wk ahead inc death",1402.85710115262
"GM","quantile",0.9,"2021-06-05","2021-05-10","4 wk ahead inc death",1467.12645755454
"GM","quantile",0.95,"2021-06-05","2021-05-10","4 wk ahead inc death",1569.46902527094
"GM","quantile",0.975,"2021-06-05","2021-05-10","4 wk ahead inc death",1664.26868086985
"GM","quantile",0.99,"2021-06-05","2021-05-10","4 wk ahead inc death",1778.1290667056
"GM","point",NA,"2021-05-15","2021-05-10","1 wk ahead inc death",1530.5
"GM","point",NA,"2021-05-22","2021-05-10","2 wk ahead inc death",1433.17
"GM","point",NA,"2021-05-29","2021-05-10","3 wk ahead inc death",1303.91833333333
"GM","point",NA,"2021-06-05","2021-05-10","4 wk ahead inc death",1154.17333333333
