"location","type","quantile","target_end_date","forecast_date","target","value"
"PL","quantile",0.01,"2021-05-15","2021-05-10","1 wk ahead inc case",13970.5345119747
"PL","quantile",0.025,"2021-05-15","2021-05-10","1 wk ahead inc case",15164.5265875625
"PL","quantile",0.05,"2021-05-15","2021-05-10","1 wk ahead inc case",16239.3271963631
"PL","quantile",0.1,"2021-05-15","2021-05-10","1 wk ahead inc case",17541.190126739
"PL","quantile",0.15,"2021-05-15","2021-05-10","1 wk ahead inc case",18596.9656168847
"PL","quantile",0.2,"2021-05-15","2021-05-10","1 wk ahead inc case",19332.2638250292
"PL","quantile",0.25,"2021-05-15","2021-05-10","1 wk ahead inc case",20144.6684542408
"PL","quantile",0.3,"2021-05-15","2021-05-10","1 wk ahead inc case",20797.0111787441
"PL","quantile",0.35,"2021-05-15","2021-05-10","1 wk ahead inc case",21381.6332972377
"PL","quantile",0.4,"2021-05-15","2021-05-10","1 wk ahead inc case",21940.2268036958
"PL","quantile",0.45,"2021-05-15","2021-05-10","1 wk ahead inc case",22552.8242640718
"PL","quantile",0.5,"2021-05-15","2021-05-10","1 wk ahead inc case",23087.3233333333
"PL","quantile",0.55,"2021-05-15","2021-05-10","1 wk ahead inc case",23710.0742113784
"PL","quantile",0.6,"2021-05-15","2021-05-10","1 wk ahead inc case",24482.5920560848
"PL","quantile",0.65,"2021-05-15","2021-05-10","1 wk ahead inc case",25155.4724972467
"PL","quantile",0.7,"2021-05-15","2021-05-10","1 wk ahead inc case",25951.5063794466
"PL","quantile",0.75,"2021-05-15","2021-05-10","1 wk ahead inc case",26771.3264934609
"PL","quantile",0.8,"2021-05-15","2021-05-10","1 wk ahead inc case",27735.249379064
"PL","quantile",0.85,"2021-05-15","2021-05-10","1 wk ahead inc case",28871.9142347758
"PL","quantile",0.9,"2021-05-15","2021-05-10","1 wk ahead inc case",30390.7379671908
"PL","quantile",0.95,"2021-05-15","2021-05-10","1 wk ahead inc case",32987.0280806939
"PL","quantile",0.975,"2021-05-15","2021-05-10","1 wk ahead inc case",34968.4616446863
"PL","quantile",0.99,"2021-05-15","2021-05-10","1 wk ahead inc case",37676.8687211213
"PL","quantile",0.01,"2021-05-22","2021-05-10","2 wk ahead inc case",7868.30945205327
"PL","quantile",0.025,"2021-05-22","2021-05-10","2 wk ahead inc case",8957.88360513719
"PL","quantile",0.05,"2021-05-22","2021-05-10","2 wk ahead inc case",10060.7884173215
"PL","quantile",0.1,"2021-05-22","2021-05-10","2 wk ahead inc case",11436.6842684432
"PL","quantile",0.15,"2021-05-22","2021-05-10","2 wk ahead inc case",12468.6633831971
"PL","quantile",0.2,"2021-05-22","2021-05-10","2 wk ahead inc case",13363.6061218969
"PL","quantile",0.25,"2021-05-22","2021-05-10","2 wk ahead inc case",14165.736169902
"PL","quantile",0.3,"2021-05-22","2021-05-10","2 wk ahead inc case",14904.7113471229
"PL","quantile",0.35,"2021-05-22","2021-05-10","2 wk ahead inc case",15600.7890246692
"PL","quantile",0.4,"2021-05-22","2021-05-10","2 wk ahead inc case",16291.1866323508
"PL","quantile",0.45,"2021-05-22","2021-05-10","2 wk ahead inc case",17089.4235736348
"PL","quantile",0.5,"2021-05-22","2021-05-10","2 wk ahead inc case",17849.48
