"location","type","quantile","target_end_date","forecast_date","target","value"
"PL","quantile",0.01,"2021-05-15","2021-05-10","1 wk ahead inc death",889.023415867228
"PL","quantile",0.025,"2021-05-15","2021-05-10","1 wk ahead inc death",949.169303913663
"PL","quantile",0.05,"2021-05-15","2021-05-10","1 wk ahead inc death",1006.70760562804
"PL","quantile",0.1,"2021-05-15","2021-05-10","1 wk ahead inc death",1092.49540763657
"PL","quantile",0.15,"2021-05-15","2021-05-10","1 wk ahead inc death",1152.03037628574
"PL","quantile",0.2,"2021-05-15","2021-05-10","1 wk ahead inc death",1195.85998140112
"PL","quantile",0.25,"2021-05-15","2021-05-10","1 wk ahead inc death",1237.44803949303
"PL","quantile",0.3,"2021-05-15","2021-05-10","1 wk ahead inc death",1271.85897671074
"PL","quantile",0.35,"2021-05-15","2021-05-10","1 wk ahead inc death",1304.20559613686
"PL","quantile",0.4,"2021-05-15","2021-05-10","1 wk ahead inc death",1341.97751978002
"PL","quantile",0.45,"2021-05-15","2021-05-10","1 wk ahead inc death",1375.42902616114
"PL","quantile",0.5,"2021-05-15","2021-05-10","1 wk ahead inc death",1410.625
"PL","quantile",0.55,"2021-05-15","2021-05-10","1 wk ahead inc death",1447.55813782019
"PL","quantile",0.6,"2021-05-15","2021-05-10","1 wk ahead inc death",1484.08655632199
"PL","quantile",0.65,"2021-05-15","2021-05-10","1 wk ahead inc death",1528.71230517521
"PL","quantile",0.7,"2021-05-15","2021-05-10","1 wk ahead inc death",1575.92296583247
"PL","quantile",0.75,"2021-05-15","2021-05-10","1 wk ahead inc death",1628.01459091759
"PL","quantile",0.8,"2021-05-15","2021-05-10","1 wk ahead inc death",1688.99044282325
"PL","quantile",0.85,"2021-05-15","2021-05-10","1 wk ahead inc death",1759.30584674709
"PL","quantile",0.9,"2021-05-15","2021-05-10","1 wk ahead inc death",1846.53686648441
"PL","quantile",0.95,"2021-05-15","2021-05-10","1 wk ahead inc death",2007.81761402179
"PL","quantile",0.975,"2021-05-15","2021-05-10","1 wk ahead inc death",2158.1228930071
"PL","quantile",0.99,"2021-05-15","2021-05-10","1 wk ahead inc death",2348.81077451178
"PL","quantile",0.01,"2021-05-22","2021-05-10","2 wk ahead inc death",614.49097399566
"PL","quantile",0.025,"2021-05-22","2021-05-10","2 wk ahead inc death",668.581222472343
"PL","quantile",0.05,"2021-05-22","2021-05-10","2 wk ahead inc death",718.466660046425
"PL","quantile",0.1,"2021-05-22","2021-05-10","2 wk ahead inc death",779.732284677377
"PL","quantile",0.15,"2021-05-22","2021-05-10","2 wk ahead inc death",823.617480216347
"PL","quantile",0.2,"2021-05-22","2021-05-10","2 wk ahead inc death",861.094710225875
"PL","quantile",0.25,"2021-05-22","2021-05-10","2 wk ahead inc death",894.63420000418
"PL","quantile",0.3,"2021-05-22","2021-05-10","2 wk ahead inc death",924.687789681383
"PL","quantile",0.35,"2021-05-22","2021-05-10","2 wk ahead inc death",956.358887175467
"PL","quantile",0.4,"2021-05-22","2021-05-10","2 wk ahead inc death",985.746980242438
"PL","quantile",0.45,"2021-05-22","2021-05-10","2 wk ahead inc death",1015.71424889084
"PL","quantile",0.5,"2021-05-22","2021-05-10","2 wk ahead inc death",1043.115
"PL","quantile",0.55,"2021-05-22","2021-05-10","2 wk ahead inc death",1074.31095953482
"PL","quantile",0.6,"2021-05-22","2021-05-10","2 wk ahead inc death",1105.93311563563
"PL","quantile",0.65,"2021-05-22","2021-05-10","2 wk ahead inc death",1136.72282267082
"PL","quantile",0.7,"2021-05-22","2021-05-10","2 wk ahead inc death",1171.51198191291
"PL","quantile",0.75,"2021-05-22","2021-05-10","2 wk ahead inc death",1212.54877617214
"PL","quantile",0.8,"2021-05-22","2021-05-10","2 wk ahead inc death",1258.50309366663
"PL","quantile",0.85,"2021-05-22","2021-05-10","2 wk ahead inc death",1319.36654403597
"PL","quantile",0.9,"2021-05-22","2021-05-10","2 wk ahead inc death",1397.34172978225
"PL","quantile",0.95,"2021-05-22","2021-05-10","2 wk ahead inc death",1524.34986600924
"PL","quantile",0.975,"2021-05-22","2021-05-10","2 wk ahead inc death",1643.72362105145
"PL","quantile",0.99,"2021-05-22","2021-05-10","2 wk ahead inc death",1786.69242283458
"PL","quantile",0.01,"2021-05-29","2021-05-10","3 wk ahead inc death",438.200752147561
"PL","quantile",0.025,"2021-05-29","2021-05-10","3 wk ahead inc death",479.825406180552
"PL","quantile",0.05,"2021-05-29","2021-05-10","3 wk ahead inc death",520.707543988068
"PL","quantile",0.1,"2021-05-29","2021-05-10","3 wk ahead inc death",574.352825844176
"PL","quantile",0.15,"2021-05-29","2021-05-10","3 wk ahead inc death",611.614965671027
"PL","quantile",0.2,"2021-05-29","2021-05-10","3 wk ahead inc death",646.398300158318
"PL","quantile",0.25,"2021-05-29","2021-05-10","3 wk ahead inc death",676.363743031066
"PL","quantile",0.3,"2021-05-29","2021-05-10","3 wk ahead inc death",702.679493465367
"PL","quantile",0.35,"2021-05-29","2021-05-10","3 wk ahead inc death",728.004131729513
"PL","quantile",0.4,"2021-05-29","2021-05-10","3 wk ahead inc death",753.710777772901
"PL","quantile",0.45,"2021-05-29","2021-05-10","3 wk ahead inc death",777.770410358238
"PL","quantile",0.5,"2021-05-29","2021-05-10","3 wk ahead inc death",803.2275
"PL","quantile",0.55,"2021-05-29","2021-05-10","3 wk ahead inc death",828.788522538865
"PL","quantile",0.6,"2021-05-29","2021-05-10","3 wk ahead inc death",859.13315489211
"PL","quantile",0.65,"2021-05-29","2021-05-10","3 wk ahead inc death",891.030616215242
"PL","quantile",0.7,"2021-05-29","2021-05-10","3 wk ahead inc death",928.946165005837
"PL","quantile",0.75,"2021-05-29","2021-05-10","3 wk ahead inc death",968.99507918897
"PL","quantile",0.8,"2021-05-29","2021-05-10","3 wk ahead inc death",1014.98076568069
"PL","quantile",0.85,"2021-05-29","2021-05-10","3 wk ahead inc death",1075.35256901831
"PL","quantile",0.9,"2021-05-29","2021-05-10","3 wk ahead inc death",1156.02446987378
"PL","quantile",0.95,"2021-05-29","2021-05-10","3 wk ahead inc death",1285.59967202318
"PL","quantile",0.975,"2021-05-29","2021-05-10","3 wk ahead inc death",1419.15068796062
"PL","quantile",0.99,"2021-05-29","2021-05-10","3 wk ahead inc death",1600.93641045666
"PL","quantile",0.01,"2021-06-05","2021-05-10","4 wk ahead inc death",300.413205404278
"PL","quantile",0.025,"2021-06-05","2021-05-10","4 wk ahead inc death",340.096865900033
"PL","quantile",0.05,"2021-06-05","2021-05-10","4 wk ahead inc death",382.529637900501
"PL","quantile",0.1,"2021-06-05","2021-05-10","4 wk ahead inc death",430.392679331929
"PL","quantile",0.15,"2021-06-05","2021-05-10","4 wk ahead inc death",465.669773973875
"PL","quantile",0.2,"2021-06-05","2021-05-10","4 wk ahead inc death",494.469765913218
"PL","quantile",0.25,"2021-06-05","2021-05-10","4 wk ahead inc death",522.293468205023
"PL","quantile",0.3,"2021-06-05","2021-05-10","4 wk ahead inc death",549.105411999389
"PL","quantile",0.35,"2021-06-05","2021-05-10","4 wk ahead inc death",576.117049979899
"PL","quantile",0.4,"2021-06-05","2021-05-10","4 wk ahead inc death",604.569585553064
"PL","quantile",0.45,"2021-06-05","2021-05-10","4 wk ahead inc death",629.373236911155
"PL","quantile",0.5,"2021-06-05","2021-05-10","4 wk ahead inc death",656.7675
"PL","quantile",0.55,"2021-06-05","2021-05-10","4 wk ahead inc death",684.446026182657
"PL","quantile",0.6,"2021-06-05","2021-05-10","4 wk ahead inc death",715.430272840092
"PL","quantile",0.65,"2021-06-05","2021-05-10","4 wk ahead inc death",746.974340094828
"PL","quantile",0.7,"2021-06-05","2021-05-10","4 wk ahead inc death",786.686476279038
"PL","quantile",0.75,"2021-06-05","2021-05-10","4 wk ahead inc death",828.238496173634
"PL","quantile",0.8,"2021-06-05","2021-05-10","4 wk ahead inc death",882.416208488007
"PL","quantile",0.85,"2021-06-05","2021-05-10","4 wk ahead inc death",954.134020895
"PL","quantile",0.9,"2021-06-05","2021-05-10","4 wk ahead inc death",1049.15673223006
"PL","quantile",0.95,"2021-06-05","2021-05-10","4 wk ahead inc death",1185.67892747904
"PL","quantile",0.975,"2021-06-05","2021-05-10","4 wk ahead inc death",1352.54897568584
"PL","quantile",0.99,"2021-06-05","2021-05-10","4 wk ahead inc death",1625.48222628723
"PL","point",NA,"2021-05-15","2021-05-10","1 wk ahead inc death",1410.625
"PL","point",NA,"2021-05-22","2021-05-10","2 wk ahead inc death",1043.115
"PL","point",NA,"2021-05-29","2021-05-10","3 wk ahead inc death",803.2275
"PL","point",NA,"2021-06-05","2021-05-10","4 wk ahead inc death",656.7675
