"location","type","quantile","target_end_date","target","value","forecast_date"
"GM","quantile",0.01,"2021-05-29","1 wk ahead inc death",821.402714011505,"2021-05-24"
"GM","quantile",0.025,"2021-05-29","1 wk ahead inc death",861.259649984911,"2021-05-24"
"GM","quantile",0.05,"2021-05-29","1 wk ahead inc death",900.996524461023,"2021-05-24"
"GM","quantile",0.1,"2021-05-29","1 wk ahead inc death",944.83808252821,"2021-05-24"
"GM","quantile",0.15,"2021-05-29","1 wk ahead inc death",974.381167439383,"2021-05-24"
"GM","quantile",0.2,"2021-05-29","1 wk ahead inc death",998.199379375929,"2021-05-24"
"GM","quantile",0.25,"2021-05-29","1 wk ahead inc death",1019.22383815808,"2021-05-24"
"GM","quantile",0.3,"2021-05-29","1 wk ahead inc death",1037.87675500093,"2021-05-24"
"GM","quantile",0.35,"2021-05-29","1 wk ahead inc death",1055.82708823115,"2021-05-24"
"GM","quantile",0.4,"2021-05-29","1 wk ahead inc death",1072.6117710193,"2021-05-24"
"GM","quantile",0.45,"2021-05-29","1 wk ahead inc death",1090.04379858199,"2021-05-24"
"GM","quantile",0.5,"2021-05-29","1 wk ahead inc death",1107.205,"2021-05-24"
"GM","quantile",0.55,"2021-05-29","1 wk ahead inc death",1124.83459665036,"2021-05-24"
"GM","quantile",0.6,"2021-05-29","1 wk ahead inc death",1143.1805808402,"2021-05-24"
"GM","quantile",0.65,"2021-05-29","1 wk ahead inc death",1161.07802956057,"2021-05-24"
"GM","quantile",0.7,"2021-05-29","1 wk ahead inc death",1181.3860893908,"2021-05-24"
"GM","quantile",0.75,"2021-05-29","1 wk ahead inc death",1204.12108655867,"2021-05-24"
"GM","quantile",0.8,"2021-05-29","1 wk ahead inc death",1231.30755076647,"2021-05-24"
"GM","quantile",0.85,"2021-05-29","1 wk ahead inc death",1263.8452039345,"2021-05-24"
"GM","quantile",0.9,"2021-05-29","1 wk ahead inc death",1306.76411415426,"2021-05-24"
"GM","quantile",0.95,"2021-05-29","1 wk ahead inc death",1367.4890809933,"2021-05-24"
"GM","quantile",0.975,"2021-05-29","1 wk ahead inc death",1417.87360640168,"2021-05-24"
"GM","quantile",0.99,"2021-05-29","1 wk ahead inc death",1514.15086625513,"2021-05-24"
"GM","quantile",0.01,"2021-06-05","2 wk ahead inc death",642.443199925822,"2021-05-24"
"GM","quantile",0.025,"2021-06-05","2 wk ahead inc death",687.599508132756,"2021-05-24"
"GM","quantile",0.05,"2021-06-05","2 wk ahead inc death",729.788085602944,"2021-05-24"
"GM","quantile",0.1,"2021-06-05","2 wk ahead inc death",777.862917708277,"2021-05-24"
"GM","quantile",0.15,"2021-06-05","2 wk ahead inc death",812.959080134595,"2021-05-24"
"GM","quantile",0.2,"2021-06-05","2 wk ahead inc death",839.668585690629,"2021-05-24"
"GM","quantile",0.25,"2021-06-05","2 wk ahead inc death",863.066073222844,"2021-05-24"
"GM","quantile",0.3,"2021-06-05","2 wk ahead inc death",885.2970028056,"2021-05-24"
"GM","quantile",0.35,"2021-06-05","2 wk ahead inc death",905.772557197792,"2021-05-24"
"GM","quantile",0.4,"2021-06-05","2 wk ahead inc death",926.672696605397,"2021-05-24"
"GM","quantile",0.45,"2021-06-05","2 wk ahead inc death",947.339099476162,"2021-05-24"
"GM","quantile",0.5,"2021-06-05","2 wk ahead inc death",967.528333333333,"2021-05-24"
"GM","quantile",0.55,"2021-06-05","2 wk ahead inc death",988.199903605338,"2021-05-24"
"GM","quantile",0.6,"2021-06-05","2 wk ahead inc death",1009.66728787133,"2021-05-24"
"GM","quantile",0.65,"2021-06-05","2 wk ahead inc death",1031.1952073614,"2021-05-24"
"GM","quantile",0.7,"2021-06-05","2 wk ahead inc death",1055.47864794175,"2021-05-24"
"GM","quantile",0.75,"2021-06-05","2 wk ahead inc death",1082.05729921773,"2021-05-24"
"GM","quantile",0.8,"2021-06-05","2 wk ahead inc death",1114.08207273001,"2021-05-24"
"GM","quantile",0.85,"2021-06-05","2 wk ahead inc death",1150.53374603334,"2021-05-24"
"GM","quantile",0.9,"2021-06-05","2 wk ahead inc death",1201.54487751482,"2021-05-24"
"GM","quantile",0.95,"2021-06-05","2 wk ahead inc death",1285.55225554181,"2021-05-24"
"GM","quantile",0.975,"2021-06-05","2 wk ahead inc death",1364.2582084522,"2021-05-24"
"GM","quantile",0.99,"2021-06-05","2 wk ahead inc death",1462.69484962877,"2021-05-24"
"GM","quantile",0.01,"2021-06-12","3 wk ahead inc death",519.955803040755,"2021-05-24"
"GM","quantile",0.025,"2021-06-12","3 wk ahead inc death",562.871035733276,"2021-05-24"
"GM","quantile",0.05,"2021-06-12","3 wk ahead inc death",601.192944265112,"2021-05-24"
"GM","quantile",0.1,"2021-06-12","3 wk ahead inc death",649.895262891245,"2021-05-24"
"GM","quantile",0.15,"2021-06-12","3 wk ahead inc death",682.402243610043,"2021-05-24"
"GM","quantile",0.2,"2021-06-12","3 wk ahead inc death",710.634010228382,"2021-05-24"
"GM","quantile",0.25,"2021-06-12","3 wk ahead inc death",735.950961099111,"2021-05-24"
"GM","quantile",0.3,"2021-06-12","3 wk ahead inc death",759.680151858916,"2021-05-24"
"GM","quantile",0.35,"2021-06-12","3 wk ahead inc death",782.11640786031,"2021-05-24"
"GM","quantile",0.4,"2021-06-12","3 wk ahead inc death",804.517490647311,"2021-05-24"
"GM","quantile",0.45,"2021-06-12","3 wk ahead inc death",825.309867260045,"2021-05-24"
"GM","quantile",0.5,"2021-06-12","3 wk ahead inc death",848.303333333333,"2021-05-24"
"GM","quantile",0.55,"2021-06-12","3 wk ahead inc death",871.573717362611,"2021-05-24"
"GM","quantile",0.6,"2021-06-12","3 wk ahead inc death",895.326001684567,"2021-05-24"
"GM","quantile",0.65,"2021-06-12","3 wk ahead inc death",920.447251733451,"2021-05-24"
"GM","quantile",0.7,"2021-06-12","3 wk ahead inc death",948.111953969458,"2021-05-24"
"GM","quantile",0.75,"2021-06-12","3 wk ahead inc death",978.214729727887,"2021-05-24"
"GM","quantile",0.8,"2021-06-12","3 wk ahead inc death",1014.10900828071,"2021-05-24"
"GM","quantile",0.85,"2021-06-12","3 wk ahead inc death",1057.23830228942,"2021-05-24"
"GM","quantile",0.9,"2021-06-12","3 wk ahead inc death",1117.123361214,"2021-05-24"
"GM","quantile",0.95,"2021-06-12","3 wk ahead inc death",1211.32870201295,"2021-05-24"
"GM","quantile",0.975,"2021-06-12","3 wk ahead inc death",1304.18294738132,"2021-05-24"
"GM","quantile",0.99,"2021-06-12","3 wk ahead inc death",1413.66683111116,"2021-05-24"
"GM","quantile",0.01,"2021-06-19","4 wk ahead inc death",410.258431625245,"2021-05-24"
"GM","quantile",0.025,"2021-06-19","4 wk ahead inc death",451.888888222994,"2021-05-24"
"GM","quantile",0.05,"2021-06-19","4 wk ahead inc death",489.117803138593,"2021-05-24"
"GM","quantile",0.1,"2021-06-19","4 wk ahead inc death",536.980122917965,"2021-05-24"
