"location","type","quantile","target_end_date","target","value","forecast_date"
"PL","quantile",0.01,"2021-06-26","1 wk ahead inc death",103.50303466999,"2021-06-21"
"PL","quantile",0.025,"2021-06-26","1 wk ahead inc death",109.957912171529,"2021-06-21"
"PL","quantile",0.05,"2021-06-26","1 wk ahead inc death",117.012580662479,"2021-06-21"
"PL","quantile",0.1,"2021-06-26","1 wk ahead inc death",124.380268486552,"2021-06-21"
"PL","quantile",0.15,"2021-06-26","1 wk ahead inc death",129.946849951188,"2021-06-21"
"PL","quantile",0.2,"2021-06-26","1 wk ahead inc death",133.965776366056,"2021-06-21"
"PL","quantile",0.25,"2021-06-26","1 wk ahead inc death",138.186235967711,"2021-06-21"
"PL","quantile",0.3,"2021-06-26","1 wk ahead inc death",141.728277163174,"2021-06-21"
"PL","quantile",0.35,"2021-06-26","1 wk ahead inc death",145.162013798537,"2021-06-21"
"PL","quantile",0.4,"2021-06-26","1 wk ahead inc death",149.034621365205,"2021-06-21"
"PL","quantile",0.45,"2021-06-26","1 wk ahead inc death",152.382017915771,"2021-06-21"
"PL","quantile",0.5,"2021-06-26","1 wk ahead inc death",155.735,"2021-06-21"
"PL","quantile",0.55,"2021-06-26","1 wk ahead inc death",159.123240571144,"2021-06-21"
"PL","quantile",0.6,"2021-06-26","1 wk ahead inc death",163.078706800493,"2021-06-21"
"PL","quantile",0.65,"2021-06-26","1 wk ahead inc death",166.639584615186,"2021-06-21"
"PL","quantile",0.7,"2021-06-26","1 wk ahead inc death",170.356046897973,"2021-06-21"
"PL","quantile",0.75,"2021-06-26","1 wk ahead inc death",174.800407149938,"2021-06-21"
"PL","quantile",0.8,"2021-06-26","1 wk ahead inc death",179.087867325232,"2021-06-21"
"PL","quantile",0.85,"2021-06-26","1 wk ahead inc death",185.426432006115,"2021-06-21"
"PL","quantile",0.9,"2021-06-26","1 wk ahead inc death",193.318111072662,"2021-06-21"
"PL","quantile",0.95,"2021-06-26","1 wk ahead inc death",207.029030056942,"2021-06-21"
"PL","quantile",0.975,"2021-06-26","1 wk ahead inc death",219.151206353158,"2021-06-21"
"PL","quantile",0.99,"2021-06-26","1 wk ahead inc death",229.683690382478,"2021-06-21"
"PL","quantile",0.01,"2021-07-03","2 wk ahead inc death",62.995105345508,"2021-06-21"
"PL","quantile",0.025,"2021-07-03","2 wk ahead inc death",68.9158252970227,"2021-06-21"
"PL","quantile",0.05,"2021-07-03","2 wk ahead inc death",74.5662065003565,"2021-06-21"
