"location","type","quantile","target_end_date","target","value","forecast_date"
"PL","quantile",0.01,"2021-07-03","1 wk ahead inc case",475,"2021-06-28"
"PL","quantile",0.025,"2021-07-03","1 wk ahead inc case",495,"2021-06-28"
"PL","quantile",0.05,"2021-07-03","1 wk ahead inc case",509,"2021-06-28"
"PL","quantile",0.1,"2021-07-03","1 wk ahead inc case",531,"2021-06-28"
"PL","quantile",0.15,"2021-07-03","1 wk ahead inc case",546,"2021-06-28"
"PL","quantile",0.2,"2021-07-03","1 wk ahead inc case",558,"2021-06-28"
"PL","quantile",0.25,"2021-07-03","1 wk ahead inc case",570,"2021-06-28"
"PL","quantile",0.3,"2021-07-03","1 wk ahead inc case",580,"2021-06-28"
"PL","quantile",0.35,"2021-07-03","1 wk ahead inc case",588,"2021-06-28"
"PL","quantile",0.4,"2021-07-03","1 wk ahead inc case",597,"2021-06-28"
"PL","quantile",0.45,"2021-07-03","1 wk ahead inc case",607,"2021-06-28"
"PL","quantile",0.5,"2021-07-03","1 wk ahead inc case",615,"2021-06-28"
"PL","quantile",0.55,"2021-07-03","1 wk ahead inc case",625,"2021-06-28"
"PL","quantile",0.6,"2021-07-03","1 wk ahead inc case",634,"2021-06-28"
"PL","quantile",0.65,"2021-07-03","1 wk ahead inc case",642,"2021-06-28"
"PL","quantile",0.7,"2021-07-03","1 wk ahead inc case",654,"2021-06-28"
"PL","quantile",0.75,"2021-07-03","1 wk ahead inc case",665,"2021-06-28"
"PL","quantile",0.8,"2021-07-03","1 wk ahead inc case",678,"2021-06-28"
"PL","quantile",0.85,"2021-07-03","1 wk ahead inc case",694,"2021-06-28"
"PL","quantile",0.9,"2021-07-03","1 wk ahead inc case",714,"2021-06-28"
"PL","quantile",0.95,"2021-07-03","1 wk ahead inc case",746,"2021-06-28"
"PL","quantile",0.975,"2021-07-03","1 wk ahead inc case",769,"2021-06-28"
"PL","quantile",0.99,"2021-07-03","1 wk ahead inc case",797,"2021-06-28"
"PL","quantile",0.01,"2021-07-10","2 wk ahead inc case",263,"2021-06-28"
"PL","quantile",0.025,"2021-07-10","2 wk ahead inc case",283,"2021-06-28"
"PL","quantile",0.05,"2021-07-10","2 wk ahead inc case",299,"2021-06-28"
"PL","quantile",0.1,"2021-07-10","2 wk ahead inc case",323,"2021-06-28"
"PL","quantile",0.15,"2021-07-10","2 wk ahead inc case",340,"2021-06-28"
"PL","quantile",0.2,"2021-07-10","2 wk ahead inc case",354,"2021-06-28"
"PL","quantile",0.25,"2021-07-10","2 wk ahead inc case",365,"2021-06-28"
"PL","quantile",0.3,"2021-07-10","2 wk ahead inc case",375,"2021-06-28"
"PL","quantile",0.35,"2021-07-10","2 wk ahead inc case",385,"2021-06-28"
"PL","quantile",0.4,"2021-07-10","2 wk ahead inc case",395,"2021-06-28"
"PL","quantile",0.45,"2021-07-10","2 wk ahead inc case",404,"2021-06-28"
"PL","quantile",0.5,"2021-07-10","2 wk ahead inc case",414,"2021-06-28"
"PL","quantile",0.55,"2021-07-10","2 wk ahead inc case",424,"2021-06-28"
"PL","quantile",0.6,"2021-07-10","2 wk ahead inc case",435,"2021-06-28"
"PL","quantile",0.65,"2021-07-10","2 wk ahead inc case",446,"2021-06-28"
"PL","quantile",0.7,"2021-07-10","2 wk ahead inc case",457,"2021-06-28"
"PL","quantile",0.75,"2021-07-10","2 wk ahead inc case",469,"2021-06-28"
"PL","quantile",0.8,"2021-07-10","2 wk ahead inc case",483,"2021-06-28"
"PL","quantile",0.85,"2021-07-10","2 wk ahead inc case",503,"2021-06-28"
"PL","quantile",0.9,"2021-07-10","2 wk ahead inc case",526,"2021-06-28"
"PL","quantile",0.95,"2021-07-10","2 wk ahead inc case",561,"2021-06-28"
"PL","quantile",0.975,"2021-07-10","2 wk ahead inc case",595,"2021-06-28"
"PL","quantile",0.99,"2021-07-10","2 wk ahead inc case",640,"2021-06-28"
"PL","quantile",0.01,"2021-07-17","3 wk ahead inc case",160,"2021-06-28"
"PL","quantile",0.025,"2021-07-17","3 wk ahead inc case",180,"2021-06-28"
"PL","quantile",0.05,"2021-07-17","3 wk ahead inc case",196,"2021-06-28"
"PL","quantile",0.1,"2021-07-17","3 wk ahead inc case",217,"2021-06-28"
"PL","quantile",0.15,"2021-07-17","3 wk ahead inc case",232,"2021-06-28"
"PL","quantile",0.2,"2021-07-17","3 wk ahead inc case",246,"2021-06-28"
"PL","quantile",0.25,"2021-07-17","3 wk ahead inc case",258,"2021-06-28"
"PL","quantile",0.3,"2021-07-17","3 wk ahead inc case",269,"2021-06-28"
"PL","quantile",0.35,"2021-07-17","3 wk ahead inc case",280,"2021-06-28"
"PL","quantile",0.4,"2021-07-17","3 wk ahead inc case",291,"2021-06-28"
"PL","quantile",0.45,"2021-07-17","3 wk ahead inc case",302,"2021-06-28"
"PL","quantile",0.5,"2021-07-17","3 wk ahead inc case",313,"2021-06-28"
"PL","quantile",0.55,"2021-07-17","3 wk ahead inc case",324,"2021-06-28"
"PL","quantile",0.6,"2021-07-17","3 wk ahead inc case",336,"2021-06-28"
"PL","quantile",0.65,"2021-07-17","3 wk ahead inc case",349,"2021-06-28"
"PL","quantile",0.7,"2021-07-17","3 wk ahead inc case",362,"2021-06-28"
"PL","quantile",0.75,"2021-07-17","3 wk ahead inc case",378,"2021-06-28"
"PL","quantile",0.8,"2021-07-17","3 wk ahead inc case",396,"2021-06-28"
"PL","quantile",0.85,"2021-07-17","3 wk ahead inc case",420,"2021-06-28"
"PL","quantile",0.9,"2021-07-17","3 wk ahead inc case",449,"2021-06-28"
"PL","quantile",0.95,"2021-07-17","3 wk ahead inc case",497,"2021-06-28"
"PL","quantile",0.975,"2021-07-17","3 wk ahead inc case",539,"2021-06-28"
"PL","quantile",0.99,"2021-07-17","3 wk ahead inc case",603,"2021-06-28"
"PL","quantile",0.01,"2021-07-24","4 wk ahead inc case",126,"2021-06-28"
"PL","quantile",0.025,"2021-07-24","4 wk ahead inc case",147,"2021-06-28"
"PL","quantile",0.05,"2021-07-24","4 wk ahead inc case",166,"2021-06-28"
"PL","quantile",0.1,"2021-07-24","4 wk ahead inc case",190,"2021-06-28"
"PL","quantile",0.15,"2021-07-24","4 wk ahead inc case",209,"2021-06-28"
"PL","quantile",0.2,"2021-07-24","4 wk ahead inc case",226,"2021-06-28"
"PL","quantile",0.25,"2021-07-24","4 wk ahead inc case",241,"2021-06-28"
"PL","quantile",0.3,"2021-07-24","4 wk ahead inc case",256,"2021-06-28"
"PL","quantile",0.35,"2021-07-24","4 wk ahead inc case",271,"2021-06-28"
"PL","quantile",0.4,"2021-07-24","4 wk ahead inc case",285,"2021-06-28"
"PL","quantile",0.45,"2021-07-24","4 wk ahead inc case",299,"2021-06-28"
"PL","quantile",0.5,"2021-07-24","4 wk ahead inc case",314,"2021-06-28"
"PL","quantile",0.55,"2021-07-24","4 wk ahead inc case",330,"2021-06-28"
"PL","quantile",0.6,"2021-07-24","4 wk ahead inc case",347,"2021-06-28"
"PL","quantile",0.65,"2021-07-24","4 wk ahead inc case",365,"2021-06-28"
"PL","quantile",0.7,"2021-07-24","4 wk ahead inc case",385,"2021-06-28"
"PL","quantile",0.75,"2021-07-24","4 wk ahead inc case",407,"2021-06-28"
"PL","quantile",0.8,"2021-07-24","4 wk ahead inc case",434,"2021-06-28"
"PL","quantile",0.85,"2021-07-24","4 wk ahead inc case",469,"2021-06-28"
"PL","quantile",0.9,"2021-07-24","4 wk ahead inc case",517,"2021-06-28"
"PL","quantile",0.95,"2021-07-24","4 wk ahead inc case",593,"2021-06-28"
"PL","quantile",0.975,"2021-07-24","4 wk ahead inc case",667,"2021-06-28"
"PL","quantile",0.99,"2021-07-24","4 wk ahead inc case",775,"2021-06-28"
"PL","point",NA,"2021-07-03","1 wk ahead inc case",615,"2021-06-28"
"PL","point",NA,"2021-07-10","2 wk ahead inc case",414,"2021-06-28"
"PL","point",NA,"2021-07-17","3 wk ahead inc case",313,"2021-06-28"
"PL","point",NA,"2021-07-24","4 wk ahead inc case",314,"2021-06-28"
