"location","type","quantile","target_end_date","target","value","forecast_date"
"GM","quantile",0.01,"2021-09-04","1 wk ahead inc case",75252,"2021-08-30"
"GM","quantile",0.025,"2021-09-04","1 wk ahead inc case",80801,"2021-08-30"
"GM","quantile",0.05,"2021-09-04","1 wk ahead inc case",85320,"2021-08-30"
"GM","quantile",0.1,"2021-09-04","1 wk ahead inc case",90653,"2021-08-30"
"GM","quantile",0.15,"2021-09-04","1 wk ahead inc case",94236,"2021-08-30"
"GM","quantile",0.2,"2021-09-04","1 wk ahead inc case",97059,"2021-08-30"
"GM","quantile",0.25,"2021-09-04","1 wk ahead inc case",99666,"2021-08-30"
"GM","quantile",0.3,"2021-09-04","1 wk ahead inc case",102238,"2021-08-30"
"GM","quantile",0.35,"2021-09-04","1 wk ahead inc case",104436,"2021-08-30"
"GM","quantile",0.4,"2021-09-04","1 wk ahead inc case",106482,"2021-08-30"
"GM","quantile",0.45,"2021-09-04","1 wk ahead inc case",108769,"2021-08-30"
"GM","quantile",0.5,"2021-09-04","1 wk ahead inc case",111376,"2021-08-30"
"GM","quantile",0.55,"2021-09-04","1 wk ahead inc case",113539,"2021-08-30"
"GM","quantile",0.6,"2021-09-04","1 wk ahead inc case",115923,"2021-08-30"
"GM","quantile",0.65,"2021-09-04","1 wk ahead inc case",118525,"2021-08-30"
"GM","quantile",0.7,"2021-09-04","1 wk ahead inc case",121459,"2021-08-30"
"GM","quantile",0.75,"2021-09-04","1 wk ahead inc case",124304,"2021-08-30"
"GM","quantile",0.8,"2021-09-04","1 wk ahead inc case",127705,"2021-08-30"
"GM","quantile",0.85,"2021-09-04","1 wk ahead inc case",132398,"2021-08-30"
"GM","quantile",0.9,"2021-09-04","1 wk ahead inc case",137584,"2021-08-30"
"GM","quantile",0.95,"2021-09-04","1 wk ahead inc case",145549,"2021-08-30"
"GM","quantile",0.975,"2021-09-04","1 wk ahead inc case",154167,"2021-08-30"
"GM","quantile",0.99,"2021-09-04","1 wk ahead inc case",164662,"2021-08-30"
"GM","quantile",0.01,"2021-09-11","2 wk ahead inc case",102098,"2021-08-30"
"GM","quantile",0.025,"2021-09-11","2 wk ahead inc case",109548,"2021-08-30"
"GM","quantile",0.05,"2021-09-11","2 wk ahead inc case",116057,"2021-08-30"
"GM","quantile",0.1,"2021-09-11","2 wk ahead inc case",126067,"2021-08-30"
"GM","quantile",0.15,"2021-09-11","2 wk ahead inc case",133364,"2021-08-30"
"GM","quantile",0.2,"2021-09-11","2 wk ahead inc case",138696,"2021-08-30"
"GM","quantile",0.25,"2021-09-11","2 wk ahead inc case",143536,"2021-08-30"
"GM","quantile",0.3,"2021-09-11","2 wk ahead inc case",148200,"2021-08-30"
"GM","quantile",0.35,"2021-09-11","2 wk ahead inc case",152429,"2021-08-30"
"GM","quantile",0.4,"2021-09-11","2 wk ahead inc case",156761,"2021-08-30"
"GM","quantile",0.45,"2021-09-11","2 wk ahead inc case",161157,"2021-08-30"
"GM","quantile",0.5,"2021-09-11","2 wk ahead inc case",165832,"2021-08-30"
"GM","quantile",0.55,"2021-09-11","2 wk ahead inc case",170962,"2021-08-30"
"GM","quantile",0.6,"2021-09-11","2 wk ahead inc case",175723,"2021-08-30"
"GM","quantile",0.65,"2021-09-11","2 wk ahead inc case",180965,"2021-08-30"
"GM","quantile",0.7,"2021-09-11","2 wk ahead inc case",186532,"2021-08-30"
"GM","quantile",0.75,"2021-09-11","2 wk ahead inc case",192317,"2021-08-30"
"GM","quantile",0.8,"2021-09-11","2 wk ahead inc case",199514,"2021-08-30"
"GM","quantile",0.85,"2021-09-11","2 wk ahead inc case",208505,"2021-08-30"
"GM","quantile",0.9,"2021-09-11","2 wk ahead inc case",218974,"2021-08-30"
"GM","quantile",0.95,"2021-09-11","2 wk ahead inc case",235410,"2021-08-30"
"GM","quantile",0.975,"2021-09-11","2 wk ahead inc case",249687,"2021-08-30"
"GM","quantile",0.99,"2021-09-11","2 wk ahead inc case",269256,"2021-08-30"
"GM","quantile",0.01,"2021-09-18","3 wk ahead inc case",117018,"2021-08-30"
"GM","quantile",0.025,"2021-09-18","3 wk ahead inc case",130782,"2021-08-30"
"GM","quantile",0.05,"2021-09-18","3 wk ahead inc case",144836,"2021-08-30"
"GM","quantile",0.1,"2021-09-18","3 wk ahead inc case",161188,"2021-08-30"
"GM","quantile",0.15,"2021-09-18","3 wk ahead inc case",172245,"2021-08-30"
"GM","quantile",0.2,"2021-09-18","3 wk ahead inc case",182099,"2021-08-30"
"GM","quantile",0.25,"2021-09-18","3 wk ahead inc case",191375,"2021-08-30"
"GM","quantile",0.3,"2021-09-18","3 wk ahead inc case",199165,"2021-08-30"
"GM","quantile",0.35,"2021-09-18","3 wk ahead inc case",208033,"2021-08-30"
"GM","quantile",0.4,"2021-09-18","3 wk ahead inc case",215876,"2021-08-30"
"GM","quantile",0.45,"2021-09-18","3 wk ahead inc case",223946,"2021-08-30"
"GM","quantile",0.5,"2021-09-18","3 wk ahead inc case",231922,"2021-08-30"
"GM","quantile",0.55,"2021-09-18","3 wk ahead inc case",240669,"2021-08-30"
"GM","quantile",0.6,"2021-09-18","3 wk ahead inc case",250324,"2021-08-30"
"GM","quantile",0.65,"2021-09-18","3 wk ahead inc case",259850,"2021-08-30"
"GM","quantile",0.7,"2021-09-18","3 wk ahead inc case",270842,"2021-08-30"
"GM","quantile",0.75,"2021-09-18","3 wk ahead inc case",284169,"2021-08-30"
"GM","quantile",0.8,"2021-09-18","3 wk ahead inc case",298556,"2021-08-30"
"GM","quantile",0.85,"2021-09-18","3 wk ahead inc case",314811,"2021-08-30"
"GM","quantile",0.9,"2021-09-18","3 wk ahead inc case",336721,"2021-08-30"
"GM","quantile",0.95,"2021-09-18","3 wk ahead inc case",372966,"2021-08-30"
