"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,152062,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.01,85871.64,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.025,95533.475,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.05,103739.5,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.1,113445.6,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.15,119671.05,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.2,125407,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.25,129730.75,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.3,134216.9,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.35,138408.2,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.4,142960.2,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.45,146780.9,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.5,152062,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.55,155841,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.6,160285.4,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.65,165349.95,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.7,170586.8,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.75,176500.5,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.8,182147.8,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.85,189591.75,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.9,200095.8,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.95,216469.05,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.975,232262.45,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","quantile",0.99,247649.44,"2021-04-24","2021-04-19","1 wk ahead inc case"
"GM","point",NA,160997,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.01,82143.91,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.025,92665.9,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.05,100416.2,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.1,113126.1,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.15,122764.85,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.2,129640,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.25,134961.75,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.3,140210,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.35,145012.65,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.4,150910.2,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.45,155679.8,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.5,160997,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.55,166399.85,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.6,172344.4,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.65,177946.5,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.7,184449.5,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.75,191374.25,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.8,200548.8,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.85,210260.7,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.9,222900.2,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.95,243835.35,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.975,264468.775,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","quantile",0.99,284468.26,"2021-05-01","2021-04-19","2 wk ahead inc case"
"GM","point",NA,170037.5,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.01,73511.4,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.025,83487.05,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.05,95912.05,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.1,108947.1,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.15,117900.95,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.2,127390.4,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.25,136088,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.3,143087.2,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.35,149903.6,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.4,157065.2,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.45,163537.35,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.5,170037.5,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.55,177384.4,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.6,184770.8,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.65,191476.35,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.7,198834.1,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.75,207516.75,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.8,218514.8,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.85,229368.05,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.9,245726.7,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.95,277453.95,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.975,300965.425,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","quantile",0.99,328072.03,"2021-05-08","2021-04-19","3 wk ahead inc case"
"GM","point",NA,171247.5,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.01,57004.23,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.025,66669.3,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.05,78066.35,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.1,93989.7,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.15,106282.55,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.2,117964.6,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.25,126931,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.3,135937.3,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.35,146479.95,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.4,154617.8,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.45,162873,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.5,171247.5,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.55,179757.25,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.6,188976.4,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.65,198277.4,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.7,208390.2,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.75,219486,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.8,232727.6,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.85,247022.15,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.9,268880.1,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.95,302408.6,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.975,332574.35,"2021-05-15","2021-04-19","4 wk ahead inc case"
"GM","quantile",0.99,373497.06,"2021-05-15","2021-04-19","4 wk ahead inc case"
