"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,1749,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.01,931.98,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.025,1050,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.05,1155.9,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.1,1270,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.15,1353,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.2,1424,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.25,1478,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.3,1537,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.35,1589,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.4,1645.6,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.45,1700.1,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.5,1749,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.55,1792,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.6,1843,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.65,1899,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.7,1962.3,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.75,2036,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.8,2121,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.85,2237,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.9,2381.1,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.95,2639.2,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.975,2936,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","quantile",0.99,3309.12,"2021-04-24","2021-04-19","1 wk ahead inc death"
"GM","point",NA,1928,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.01,1054.99,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.025,1165.975,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.05,1265.9,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.1,1406.9,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.15,1488,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.2,1569,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.25,1632.75,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.3,1693.7,"2021-05-01","2021-04-19","2 wk ahead inc death"
"GM","quantile",0.35,1756,"2021-05-01","2021-04-19","2 wk ahead inc death"
