"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,93091,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.01,70435.26,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.025,72336.225,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.05,75772.45,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.1,79578.4,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.15,82148,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.2,83733.6,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.25,85844.25,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.3,87298.8,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.35,88945.2,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.4,90368,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.45,91851.8,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.5,93091,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.55,94476.2,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.6,95811.8,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.65,97195.6,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.7,98701.9,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.75,100415,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.8,101843.4,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.85,104735,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.9,107036.8,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.95,112287.4,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.975,117177.775,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","quantile",0.99,121459.37,"2021-04-24","2021-04-19","1 wk ahead inc case"
"PL","point",NA,77691.5,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.01,49851.08,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.025,52554.95,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.05,56554.4,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.1,61452.4,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.15,64490.15,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.2,66204.8,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.25,68750.25,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.3,70688.2,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.35,72310.95,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.4,74269.8,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.45,75549.25,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.5,77691.5,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.55,79292.85,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.6,80876.6,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.65,82646.05,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.7,84449.4,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.75,86227.25,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.8,88639.4,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.85,91555.8,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.9,94619.5,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.95,100317.3,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.975,106452.025,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","quantile",0.99,115049.38,"2021-05-01","2021-04-19","2 wk ahead inc case"
"PL","point",NA,69984.5,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.01,37011.48,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.025,40919.075,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.05,44189.7,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.1,49545.2,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.15,53022.1,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.2,56285,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.25,58978.5,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.3,60904.1,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.35,63031.15,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.4,65250,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.45,67560.1,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.5,69984.5,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.55,71841,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.6,74356.4,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.65,76520.5,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.7,79375.7,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.75,83049.5,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.8,86052.2,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.85,90031.65,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.9,95285.4,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.95,103288.65,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.975,110773.25,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","quantile",0.99,122756.79,"2021-05-08","2021-04-19","3 wk ahead inc case"
"PL","point",NA,64654.5,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.01,25748.51,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.025,28551.15,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.05,33257.45,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.1,39089.5,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.15,43180.25,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.2,46165,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.25,49537.75,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.3,52354.5,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.35,55415.1,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.4,58651.6,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.45,61698.7,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.5,64654.5,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.55,68041.75,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.6,70773,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.65,74809.6,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.7,78371,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.75,83178,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.8,89301.6,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.85,95836,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.9,102079.8,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.95,117350.2,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.975,133997.15,"2021-05-15","2021-04-19","4 wk ahead inc case"
"PL","quantile",0.99,151488.75,"2021-05-15","2021-04-19","4 wk ahead inc case"
