"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,3178,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.01,1543.88,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.025,1816.75,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.05,2002.65,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.1,2211.7,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.15,2377,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.2,2498.4,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.25,2647.25,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.3,2744,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.35,2893.6,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.4,2982.6,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.45,3086,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.5,3178,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.55,3311,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.6,3440,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.65,3577.4,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.7,3723.9,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.75,3894,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.8,4068.6,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.85,4315.75,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.9,4665.7,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.95,5222.8,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.975,5667.05,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","quantile",0.99,6267.05,"2021-04-24","2021-04-19","1 wk ahead inc death"
"PL","point",NA,2638.5,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.01,1298.7,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.025,1417.8,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.05,1562.95,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.1,1750,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.15,1898.85,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.2,2047.6,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.25,2148.5,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.3,2247.7,"2021-05-01","2021-04-19","2 wk ahead inc death"
"PL","quantile",0.35,2343.3,"2021-05-01","2021-04-19","2 wk ahead inc death"
