"location","target","type","quantile","target_end_date","forecast_date","value"
"PL","1 wk ahead inc death","point",NA,"2021-05-15","2021-05-10",1215.5
"PL","1 wk ahead inc death","quantile",0.01,"2021-05-15","2021-05-10",607.33
"PL","1 wk ahead inc death","quantile",0.025,"2021-05-15","2021-05-10",667.975
"PL","1 wk ahead inc death","quantile",0.05,"2021-05-15","2021-05-10",729.3
"PL","1 wk ahead inc death","quantile",0.1,"2021-05-15","2021-05-10",835.95
"PL","1 wk ahead inc death","quantile",0.15,"2021-05-15","2021-05-10",909.35
"PL","1 wk ahead inc death","quantile",0.2,"2021-05-15","2021-05-10",959.6
"PL","1 wk ahead inc death","quantile",0.25,"2021-05-15","2021-05-10",1009.875
"PL","1 wk ahead inc death","quantile",0.3,"2021-05-15","2021-05-10",1048.5
"PL","1 wk ahead inc death","quantile",0.35,"2021-05-15","2021-05-10",1084.65
"PL","1 wk ahead inc death","quantile",0.4,"2021-05-15","2021-05-10",1132.6
"PL","1 wk ahead inc death","quantile",0.45,"2021-05-15","2021-05-10",1172.325
"PL","1 wk ahead inc death","quantile",0.5,"2021-05-15","2021-05-10",1215.5
"PL","1 wk ahead inc death","quantile",0.55,"2021-05-15","2021-05-10",1261.675
"PL","1 wk ahead inc death","quantile",0.6,"2021-05-15","2021-05-10",1306.1
"PL","1 wk ahead inc death","quantile",0.65,"2021-05-15","2021-05-10",1365.225
"PL","1 wk ahead inc death","quantile",0.7,"2021-05-15","2021-05-10",1427.3
"PL","1 wk ahead inc death","quantile",0.75,"2021-05-15","2021-05-10",1495.875
"PL","1 wk ahead inc death","quantile",0.8,"2021-05-15","2021-05-10",1577.3
"PL","1 wk ahead inc death","quantile",0.85,"2021-05-15","2021-05-10",1669.5
"PL","1 wk ahead inc death","quantile",0.9,"2021-05-15","2021-05-10",1781.15
"PL","1 wk ahead inc death","quantile",0.95,"2021-05-15","2021-05-10",2006.625
"PL","1 wk ahead inc death","quantile",0.975,"2021-05-15","2021-05-10",2219
"PL","1 wk ahead inc death","quantile",0.99,"2021-05-15","2021-05-10",2492.845
"PL","2 wk ahead inc death","point",NA,"2021-05-22","2021-05-10",851.75
"PL","2 wk ahead inc death","quantile",0.01,"2021-05-22","2021-05-10",398.935
"PL","2 wk ahead inc death","quantile",0.025,"2021-05-22","2021-05-10",453.8375
"PL","2 wk ahead inc death","quantile",0.05,"2021-05-22","2021-05-10",504.975
