"location","target","type","quantile","target_end_date","forecast_date","value"
"GM","1 wk ahead inc death","point",NA,"2021-06-12","2021-06-07",477.75
"GM","1 wk ahead inc death","quantile",0.01,"2021-06-12","2021-06-07",283.475
"GM","1 wk ahead inc death","quantile",0.025,"2021-06-12","2021-06-07",305.475
"GM","1 wk ahead inc death","quantile",0.05,"2021-06-12","2021-06-07",326.925
"GM","1 wk ahead inc death","quantile",0.1,"2021-06-12","2021-06-07",357.8
"GM","1 wk ahead inc death","quantile",0.15,"2021-06-12","2021-06-07",379.35
"GM","1 wk ahead inc death","quantile",0.2,"2021-06-12","2021-06-07",395.5
"GM","1 wk ahead inc death","quantile",0.25,"2021-06-12","2021-06-07",411
"GM","1 wk ahead inc death","quantile",0.3,"2021-06-12","2021-06-07",426.5
"GM","1 wk ahead inc death","quantile",0.35,"2021-06-12","2021-06-07",439.65
"GM","1 wk ahead inc death","quantile",0.4,"2021-06-12","2021-06-07",452
"GM","1 wk ahead inc death","quantile",0.45,"2021-06-12","2021-06-07",462
"GM","1 wk ahead inc death","quantile",0.5,"2021-06-12","2021-06-07",477.75
"GM","1 wk ahead inc death","quantile",0.55,"2021-06-12","2021-06-07",492.5
"GM","1 wk ahead inc death","quantile",0.6,"2021-06-12","2021-06-07",508.5
"GM","1 wk ahead inc death","quantile",0.65,"2021-06-12","2021-06-07",520.675
"GM","1 wk ahead inc death","quantile",0.7,"2021-06-12","2021-06-07",536.15
"GM","1 wk ahead inc death","quantile",0.75,"2021-06-12","2021-06-07",553.625
"GM","1 wk ahead inc death","quantile",0.8,"2021-06-12","2021-06-07",575
"GM","1 wk ahead inc death","quantile",0.85,"2021-06-12","2021-06-07",603.65
"GM","1 wk ahead inc death","quantile",0.9,"2021-06-12","2021-06-07",637.5
"GM","1 wk ahead inc death","quantile",0.95,"2021-06-12","2021-06-07",693.575
"GM","1 wk ahead inc death","quantile",0.975,"2021-06-12","2021-06-07",741.075
"GM","1 wk ahead inc death","quantile",0.99,"2021-06-12","2021-06-07",811.39
"GM","2 wk ahead inc death","point",NA,"2021-06-19","2021-06-07",326.5
"GM","2 wk ahead inc death","quantile",0.01,"2021-06-19","2021-06-07",176.5
"GM","2 wk ahead inc death","quantile",0.025,"2021-06-19","2021-06-07",198.4875
"GM","2 wk ahead inc death","quantile",0.05,"2021-06-19","2021-06-07",219.45
"GM","2 wk ahead inc death","quantile",0.1,"2021-06-19","2021-06-07",239.95
"GM","2 wk ahead inc death","quantile",0.15,"2021-06-19","2021-06-07",254.5
"GM","2 wk ahead inc death","quantile",0.2,"2021-06-19","2021-06-07",266.5
"GM","2 wk ahead inc death","quantile",0.25,"2021-06-19","2021-06-07",275
"GM","2 wk ahead inc death","quantile",0.3,"2021-06-19","2021-06-07",285.5
"GM","2 wk ahead inc death","quantile",0.35,"2021-06-19","2021-06-07",296
"GM","2 wk ahead inc death","quantile",0.4,"2021-06-19","2021-06-07",306
"GM","2 wk ahead inc death","quantile",0.45,"2021-06-19","2021-06-07",315
"GM","2 wk ahead inc death","quantile",0.5,"2021-06-19","2021-06-07",326.5
"GM","2 wk ahead inc death","quantile",0.55,"2021-06-19","2021-06-07",336
"GM","2 wk ahead inc death","quantile",0.6,"2021-06-19","2021-06-07",347
"GM","2 wk ahead inc death","quantile",0.65,"2021-06-19","2021-06-07",358
"GM","2 wk ahead inc death","quantile",0.7,"2021-06-19","2021-06-07",369.15
"GM","2 wk ahead inc death","quantile",0.75,"2021-06-19","2021-06-07",381.5
"GM","2 wk ahead inc death","quantile",0.8,"2021-06-19","2021-06-07",397.5
"GM","2 wk ahead inc death","quantile",0.85,"2021-06-19","2021-06-07",413.5
"GM","2 wk ahead inc death","quantile",0.9,"2021-06-19","2021-06-07",437.1
"GM","2 wk ahead inc death","quantile",0.95,"2021-06-19","2021-06-07",474.55
"GM","2 wk ahead inc death","quantile",0.975,"2021-06-19","2021-06-07",513.55
